Description,Manufacturer,Part Number,Grounding Type,BRSID
"LH Dottie Grounding Screw, #10-32 x 3/8 in",LH Dottie,1032G,Grounding Screw,GROUNDING-LH-Dottie-1032G
"LH Dottie Grounding Screw, #10-32 x 3/8 in",LH Dottie,1032TC,Grounding Screw,GROUNDING-LH-Dottie-1032TC
"Madison Ground Clamp, 1/2 to 1 in",Madison,L-160-B,Ground Clamp,GROUNDING-Madison-L-160-B
"Madison Ground Clamp, 1/2 to 1 in, Armored",Madison,L-163,Ground Clamp,GROUNDING-Madison-L-163
"Madison Ground Rod Clamp, 5/8 in",Madison,GRC-2,Ground Rod Clamp,GROUNDING-Madison-GRC-2
"Madison Grounding Bridge, 1/2 in Diameter, 6-Terminal",Madison,MEIBB,Grounding Bridge,GROUNDING-Madison-MEIBB
"Morris Ground Bar Kit, 7-Terminal",Morris,91138,Ground Bar Kit,GROUNDING-Morris-91138
Morris 6-Terminal Ground Bar Kit,Morris,91133,Ground Bar Kit,GROUNDING-Morris-91133
"Morris Ground Rod Clamp, 5/8 in",Morris,90636,Ground Rod Clamp,GROUNDING-Morris-90636
"Morris Grounding Bridge, 4-Terminal",Morris,90588,Grounding Bridge,GROUNDING-Morris-90588
"NSI Ground Bar Kit, 7-Terminal",NSI,GBA27,Ground Bar Kit,GROUNDING-NSI-GBA27
"NSI Ground Clamp, 1/2 to 1 in",NSI,G-1,Ground Clamp,GROUNDING-NSI-G-1
"NSI Ground Clamp, 1/2 to 1 in, Direct Burial",NSI,G-1-SDB,Ground Clamp,GROUNDING-NSI-G-1-SDB
"NSI Ground Clamp, 1/2 to 1 in, Direct Burial, Rebar",NSI,G-1-SDBR,Ground Clamp,GROUNDING-NSI-G-1-SDBR
"NSI Ground Clamp, 1-1/4 to 2 in",NSI,G-2-S,Ground Clamp,GROUNDING-NSI-G-2-S
"NSI Ground Clamp, 1-1/4 to 2 in, Direct Burial",NSI,G-2-SDB,Ground Clamp,GROUNDING-NSI-G-2-SDB
"NSI Ground Clamp, 1-1/4 to 2 in, Aluminum",NSI,GCA-2,Ground Clamp,GROUNDING-NSI-GCA-2
"NSI Ground Clamp, 1/2 to 1 in, Zinc",NSI,GZ1,Ground Clamp,GROUNDING-NSI-GZ1
"NSI Ground Rod Clamp, 3/4 in",NSI,GRC-34,Ground Rod Clamp,GROUNDING-NSI-GRC-34
"NSI Ground Rod Clamp, 3/8 to 3/4 in",NSI,GRC-3834,Ground Rod Clamp,GROUNDING-NSI-GRC-3834
"NSI Ground Rod Clamp, 5/8 in",NSI,GRC-58,Ground Rod Clamp,GROUNDING-NSI-GRC-58
"NSI Ground Rod Clamp, 5/8 in",NSI,GRC-58H,Ground Rod Clamp,GROUNDING-NSI-GRC-58H
"NSI Grounding Bridge, 4-Terminal, No Cover",NSI,GBIBZ 126-4414,Grounding Bridge,GROUNDING-NSI-GBIBZ-126-4414
"NSI Grounding Bridge, 4-Terminal",NSI,GBIBZ 126-4414-WC,Grounding Bridge,GROUNDING-NSI-GBIBZ-126-4414-WC
"NSI Grounding Clamp, 1/2 to 1 in",NSI,G-1,Grounding Clamp,GROUNDING-NSI-G-1
"NSI Grounding Clamp, 1/2 to 1 in",NSI,GLC-12DB,Grounding Clamp,GROUNDING-NSI-GLC-12DB
"NSI Ground Lug, 4-14 AWG",NSI,GLA-4,Ground Lug,GROUNDING-NSI-GLA-4
"NSI Grounding Screw, #10-32 x 3/8 in, Combo Slotted Hex Head",NSI,GSC,Grounding Screw,GROUNDING-NSI-GSC
"NSI Grounding Screw, #10-32 x 3/8 in, Hex Head",NSI,GSH,Grounding Screw,GROUNDING-NSI-GSH
"Peco Grounding Screw, #10-32 x 3/8 in",Peco,1032X38GGSJ,Grounding Screw,GROUNDING-Peco-1032X38GGSJ
"Penn Union Ground Rod Clamp, 5/8 in",Penn Union,CEB2,Ground Rod Clamp,GROUNDING-Penn-Union-CEB2
"Penn Union Ground Lug, 4-14 AWG",Penn Union,LI-50S,Ground Lug,GROUNDING-Penn-Union-LI-50S
"Powerline Hardware Ground Rod, 5/8 in x 6 ft, Copper",Powerline Hardware,PLH-586C,Ground Rod,GROUNDING-Powerline-Hardware-PLH-586C
"Powerline Hardware Ground Rod, 5/8 in x 6 ft, Galvanized",Powerline Hardware,PLH-586G,Ground Rod,GROUNDING-Powerline-Hardware-PLH-586G
"Priority Wire & Cable Ground Rod Clamp, 5/8 in, Direct Burial",Priority Wire & Cable,P5,Ground Rod Clamp,GROUNDING-Priority-Wire-&-Cable-P5
"Raco Grounding Bridge, 4-Terminal",Raco,RACIBB,Grounding Bridge,GROUNDING-Raco-RACIBB
"Raco Grounding Screw, #10-32 x 3/8 in",Raco,973,Grounding Screw,GROUNDING-Raco-973
"SGP Ground Rod, 5/8 in x 8 ft, Copper",SGP,C588,Ground Rod,GROUNDING-SGP-C588
"SGP Ground Rod, 5/8 in x 8 ft, Galvanized",SGP,ZZ588,Ground Rod,GROUNDING-SGP-ZZ588
"SGP Ground Rod Clamp, 5/8 in",SGP,G5,Ground Rod Clamp,GROUNDING-SGP-G5
"SGP Ground Rod Clamp, 1/2 to  3/4 in",SGP,UGC,Ground Rod Clamp,GROUNDING-SGP-UGC
"Siemens Ground Bar Kit, 8-Terminal",Siemens,EC1GB8,Ground Bar Kit,GROUNDING-Siemens-EC1GB8
"Siemens Ground Bar Kit, 12-Terminal",Siemens,EC1GB82,Ground Bar Kit,GROUNDING-Siemens-EC1GB82
"Siemens Ground Bar Kit, 12 Positions",Siemens,EC2GB12,Ground Bar Kit,GROUNDING-Siemens-EC2GB12
"Siemens Ground Bar Kit, 21 Terminals",Siemens,EC3GB212,Ground Bar Kit,GROUNDING-Siemens-EC3GB212
"Siemens Ground Bar Kit, 10-Terminal",Siemens,ECGB10,Ground Bar Kit,GROUNDING-Siemens-ECGB10
"Siemens Ground Bar Kit, 14-Terminal",Siemens,ECGB14,Ground Bar Kit,GROUNDING-Siemens-ECGB14
"Siemens Ground Bar Kit, 14-Terminal",Siemens,ECGB142,Ground Bar Kit,GROUNDING-Siemens-ECGB142
"Siemens Ground Bar Kit, 20-Terminal",Siemens,ECGB20,Ground Bar Kit,GROUNDING-Siemens-ECGB20
"Siemens Ground Bar Kit, 5-Terminal",Siemens,ECGB5,Ground Bar Kit,GROUNDING-Siemens-ECGB5
Siemens 15-Terminal Ground Bar Kit,Siemens,EC2GB15,Ground Bar Kit,GROUNDING-Siemens-EC2GB15
Siemens 21-Terminal Ground Bar Kit,Siemens,EC3GB21,Ground Bar Kit,GROUNDING-Siemens-EC3GB21
Siemens 15-Terminal Ground Bar Kit,Siemens,EC2GB152,Ground Bar Kit,GROUNDING-Siemens-EC2GB152
Siemens 14-Terminal Ground Bar Kit,Siemens,ECGB141,Ground Bar Kit,GROUNDING-Siemens-ECGB141
Siemens 20-Terminal Ground Bar Kit,Siemens,ECGB202,Ground Bar Kit,GROUNDING-Siemens-ECGB202
Siemens 42-Terminal Ground Bar Kit,Siemens,IGK,Ground Bar Kit,GROUNDING-Siemens-IGK
Siemens 23-Terminal Ground Bar Kit,Siemens,ECLX210M,Ground Bar Kit,GROUNDING-Siemens-ECLX210M
Siemens 14-Terminal Ground Bar Kit,Siemens,ECLNB14,Ground Bar Kit,GROUNDING-Siemens-ECLNB14
Siemens 35-Terminal Ground Bar Kit,Siemens,EC3GB352,Ground Bar Kit,GROUNDING-Siemens-EC3GB352
Siemens 12-Terminal Ground Bar Kit,Siemens,EC2GB122,Ground Bar Kit,GROUNDING-Siemens-EC2GB122
Siemens 21-Terminal Ground Bar Kit,Siemens,EGK,Ground Bar Kit,GROUNDING-Siemens-EGK
Siemens 15-Terminal Ground Bar Kit,Siemens,ECNBX15,Ground Bar Kit,GROUNDING-Siemens-ECNBX15
Siemens 1-Terminal Ground Bar Kit,Siemens,HG61234,Ground Bar Kit,GROUNDING-Siemens-HG61234
Siemens 30-Terminals Ground Bar Kit,Siemens,EC3GB302,Ground Bar Kit,GROUNDING-Siemens-EC3GB302
Siemens 30-Terminal Ground Bar Kit,Siemens,EC3GB30,Ground Bar Kit,GROUNDING-Siemens-EC3GB30
"Southwire Ground Rod Clamp, 5/8 in",Southwire,412,Ground Rod Clamp,GROUNDING-Southwire-412
Square D Ground Bar Insulating Kit,Square D,PKGTAB,Ground Bar Insulating Kit,GROUNDING-Square-D-PKGTAB
"Square D Ground Bar Kit, 12-Terminal",Square D,PK12GTA,Ground Bar Kit,GROUNDING-Square-D-PK12GTA
"Square D Ground Bar Kit, 15-Terminal",Square D,PK15GTA,Ground Bar Kit,GROUNDING-Square-D-PK15GTA
"Square D Ground Bar Kit, 18 Terminal",Square D,PK18GTA,Ground Bar Kit,GROUNDING-Square-D-PK18GTA
"Square D Ground Bar Kit, 23-Terminal",Square D,PK23GTA,Ground Bar Kit,GROUNDING-Square-D-PK23GTA
"Square D Ground Bar Kit, 23-Terminal",Square D,PK23GTAL,Ground Bar Kit,GROUNDING-Square-D-PK23GTAL
"Square D Ground Bar Kit, 3-Terminal",Square D,PK3GTA1,Ground Bar Kit,GROUNDING-Square-D-PK3GTA1
"Square D Ground Bar Kit, 4-Terminal",Square D,PK4GTA,Ground Bar Kit,GROUNDING-Square-D-PK4GTA
"Square D Ground Bar Kit, 15-Terminal",Square D,PK5GTA,Ground Bar Kit,GROUNDING-Square-D-PK5GTA
"Square D Ground Bar Kit, 7-Terminal",Square D,PK7GTA,Ground Bar Kit,GROUNDING-Square-D-PK7GTA
"Square D Ground Bar Kit, 9-Terminal",Square D,PK9GTA,Ground Bar Kit,GROUNDING-Square-D-PK9GTA
Square D 15-Terminal Ground Bar Kit,Square D,PK15GTAL,Ground Bar Kit,GROUNDING-Square-D-PK15GTAL
Square D 3-Terminal Ground Bar Kit,Square D,GTK03,Ground Bar Kit,GROUNDING-Square-D-GTK03
Square D 27-Terminal Ground Bar Kit,Square D,PK27GTA,Ground Bar Kit,GROUNDING-Square-D-PK27GTA
"Thomas & Betts Ground Clamp, 1-1/2 to 2 in Pipe or Rod",Thomas & Betts,AJ-2,Ground Clamp,GROUNDING-Thomas-&-Betts-AJ-2
"Thomas & Betts Ground Clamp, 1/2 to 1 in Pipe or Rod",Thomas & Betts,JJR,Ground Clamp,GROUNDING-Thomas-&-Betts-JJR
"Topaz Ground Clamp, 1/2 to 1 in, Brass",Topaz,626A,Ground Clamp,GROUNDING-Topaz-626A
"Topaz Ground Lug, 4-14 AWG",Topaz,810,Ground Lug,GROUNDING-Topaz-810
