Description,Manufacturer,Part Number,Hardware Type,Hardware Size,BRSID
"Cully Sheet Metal Screw, #8 x 3/4 in",Cully,14813J,Sheet Metal Screw,#8 x 3/4 in,HARDWARE-Cully-14813J
"Cully Sheet Metal Screw, #8 x 1 in",Cully,14817J,Sheet Metal Screw,#8 x 1 in,HARDWARE-Cully-14817J
"Cully Sheet Metal Screw, 8 x 1-1/4",Cully,14820J,Sheet Metal Screw,8 x 1-1/4,HARDWARE-Cully-14820J
"Cully Sheet Metal Screw, #8 x 1-1/4 in",Cully,14821J,Sheet Metal Screw,#8 x 1-1/4 in,HARDWARE-Cully-14821J
"Cully Sheet Metal Screw, #10 x 1/2 in",Cully,15008J,Sheet Metal Screw,#10 x 1/2 in,HARDWARE-Cully-15008J
"Cully Sheet Metal Screw, #10 x 3/4 in",Cully,15012J,Sheet Metal Screw,#10 x 3/4 in,HARDWARE-Cully-15012J
"Cully Sheet Metal Screw, #10 x 1 in",Cully,15016J,Sheet Metal Screw,#10 x 1 in,HARDWARE-Cully-15016J
"Cully Sheet Metal Screw, #10 x 1-1/4 in",Cully,15020J,Sheet Metal Screw,#10 x 1-1/4 in,HARDWARE-Cully-15020J
"Cully Sheet Metal Screw, #10 x 1-1/2 in",Cully,15024J,Sheet Metal Screw,#10 x 1-1/2 in,HARDWARE-Cully-15024J
"Cully Sheet Metal Screw, #10 x 2 in",Cully,15032J,Sheet Metal Screw,#10 x 2 in,HARDWARE-Cully-15032J
"Cully Deck Screw, #9 x 2-1/2 in",Cully,181401LB,Deck Screw,#9 x 2-1/2 in,HARDWARE-Cully-181401LB
"Cully Sheet Metal Screw, #8 x 1 in",Cully,18817J,Sheet Metal Screw,#8 x 1 in,HARDWARE-Cully-18817J
"Cully Sheet Metal Screw, #10 x 3/4 in",Cully,19013J,Sheet Metal Screw,#10 x 3/4 in,HARDWARE-Cully-19013J
"Cully Sheet Metal Screw, #10 x 1 in",Cully,19017J,Sheet Metal Screw,#10 x 1 in,HARDWARE-Cully-19017J
"Cully Sheet Metal Screw, #10 x 1-1/4 in",Cully,19021J,Sheet Metal Screw,#10 x 1-1/4 in,HARDWARE-Cully-19021J
"Cully Sheet Metal Screw, #10 x 1-1/2 in",Cully,19025J,Sheet Metal Screw,#10 x 1-1/2 in,HARDWARE-Cully-19025J
"Cully Sheet Metal Screw, #10 x 2 in",Cully,19033J,Sheet Metal Screw,#10 x 2 in,HARDWARE-Cully-19033J
"Cully Sheet Metal Screw, #10 x 2-1/2 in",Cully,19041J,Sheet Metal Screw,#10 x 2-1/2 in,HARDWARE-Cully-19041J
"Cully Sheet Metal Screw, 12x1 in",Cully,19217J,Sheet Metal Screw,12x1 in,HARDWARE-Cully-19217J
"Cully Sheet Metal Screw, #12 x 1-1/4 in",Cully,19221J,Sheet Metal Screw,#12 x 1-1/4 in,HARDWARE-Cully-19221J
"Cully Sheet Metal Screw, 12 x 1-1/2 in",Cully,19225J,Sheet Metal Screw,12 x 1-1/2 in,HARDWARE-Cully-19225J
"Cully Self-Drilling Screw, 8 x 1/2 in",Cully,268096,Self-Drilling Screw,8 x 1/2 in,HARDWARE-Cully-268096
"Cully Self-Drilling Screw, #8-18 x 1/2 in",Cully,26809J,Self-Drilling Screw,#8-18 x 1/2 in,HARDWARE-Cully-26809J
"Cully Self-Drilling Screw, #8 x 9/16 in",Cully,26811J,Self-Drilling Screw,#8 x 9/16 in,HARDWARE-Cully-26811J
"Cully Self-Drilling Screw, #8 x 3/4 in",Cully,26813-1000,Self-Drilling Screw,#8 x 3/4 in,HARDWARE-Cully-26813-1000
"Cully Self-Drilling Screw, 8-18 x 3/4 in",Cully,26813J,Self-Drilling Screw,8-18 x 3/4 in,HARDWARE-Cully-26813J
"Cully Self-Drilling Screw, 8 x 1 in",Cully,26817J,Self-Drilling Screw,8 x 1 in,HARDWARE-Cully-26817J
"Cully Self-Drilling Screw, #8 x 1-1/4 in, Jar of 500",Cully,26821-6,Self-Drilling Screw,"#8 x 1-1/4 in, Jar of 500",HARDWARE-Cully-26821-6
"Cully Self-Drilling Screw, #8 x 1-1/4 in",Cully,26821J,Self-Drilling Screw,#8 x 1-1/4 in,HARDWARE-Cully-26821J
"Cully Self-Drilling Screw, #10 x 1 in",Cully,27016J,Self-Drilling Screw,#10 x 1 in,HARDWARE-Cully-27016J
"Cully Self-Drilling Screw, 1-1/4 in",Cully,27020J,Self-Drilling Screw,1-1/4 in,HARDWARE-Cully-27020J
"Cully Self-Drilling Screw, #10 x 1-1/2 in",Cully,27024J,Self-Drilling Screw,#10 x 1-1/2 in,HARDWARE-Cully-27024J
"Cully Self-Drilling Screw, 10 x 2 in",Cully,27032J,Self-Drilling Screw,10 x 2 in,HARDWARE-Cully-27032J
"Cully Sheet Metal Screw, 1-1/4 in",Cully,31860,Sheet Metal Screw,1-1/4 in,HARDWARE-Cully-31860
"Cully Washer Set, #8 to 3/8 in",Cully,39518,Washer Set,#8 to 3/8 in,HARDWARE-Cully-39518
"Cully Machine Screw, #6-32, 370 Pieces",Cully,39525,Machine Screw,"#6-32, 370 Pieces",HARDWARE-Cully-39525
"Cully Machine Screw, #10-32, 245 Pieces",Cully,39532,Machine Screw,"#10-32, 245 Pieces",HARDWARE-Cully-39532
"Cully Conical Anchor, #10 Square Drive Pan Head Red Conical",Cully,39710,Conical Anchor,#10 Square Drive Pan Head Red Conical,HARDWARE-Cully-39710
"Cully Conical Anchor, #10 x 1 in, Hex Head, Jar of 400",Cully,39710-6,Conical Anchor,"#10 x 1 in, Hex Head, Jar of 400",HARDWARE-Cully-39710-6
"Cully Conical Anchor, #10 x 1 in, Square Head, Box",Cully,39711,Conical Anchor,"#10 x 1 in, Square Head, Box",HARDWARE-Cully-39711
"Cully Winged Anchor, #10 Slot/Phil Pan Head Yellow",Cully,39761,Winged Anchor,#10 Slot/Phil Pan Head Yellow,HARDWARE-Cully-39761
"Cully Winged Anchor, #12 x 1 in, Slot Head, Box",Cully,39762,Winged Anchor,"#12 x 1 in, Slot Head, Box",HARDWARE-Cully-39762
"Cully Winged Anchor, #10 x 1 in, Slot Head, Jar",Cully,39763,Winged Anchor,"#10 x 1 in, Slot Head, Jar",HARDWARE-Cully-39763
"Cully Conical Anchor, #6 x 1 in, Slot Head, Jar",Cully,39816,Conical Anchor,"#6 x 1 in, Slot Head, Jar",HARDWARE-Cully-39816
"Cully Conical Anchor, #8 Slot/Phil Pan Head Red Kit",Cully,39818,Conical Anchor,#8 Slot/Phil Pan Head Red Kit,HARDWARE-Cully-39818
"Cully Conical Anchor, #10 x 1 in, Slot Head, Box",Cully,39820,Conical Anchor,"#10 x 1 in, Slot Head, Box",HARDWARE-Cully-39820
"Cully Conical Anchor, #12",Cully,39822J,Conical Anchor,#12,HARDWARE-Cully-39822J
"Cully Conical Anchor, #10 x 1 in, Hex Head, Box",Cully,39910,Conical Anchor,"#10 x 1 in, Hex Head, Box",HARDWARE-Cully-39910
"Cully Conical Anchor, #10 x 1 in, Hex Head, Jar",Cully,39911,Conical Anchor,"#10 x 1 in, Hex Head, Jar",HARDWARE-Cully-39911
"Cully Conical Anchor, #12",Cully,39912,Conical Anchor,#12,HARDWARE-Cully-39912
"Cully Winged Anchor, #8 EZ Ancor Sq/Phil Kit",Cully,39915,Winged Anchor,#8 EZ Ancor Sq/Phil Kit,HARDWARE-Cully-39915
"Cully Winged Anchor, #8",Cully,39915J,Winged Anchor,#8,HARDWARE-Cully-39915J
"Cully Winged Anchor, #8 EZ Ancor Phil/Slot Kit",Cully,39916,Winged Anchor,#8 EZ Ancor Phil/Slot Kit,HARDWARE-Cully-39916
"Cully Winged Anchor, #8 EZ Ancor Phil/Slot Jar",Cully,39916J,Winged Anchor,#8 EZ Ancor Phil/Slot Jar,HARDWARE-Cully-39916J
"Cully Winged Anchor, #8",Cully,39921J,Winged Anchor,#8,HARDWARE-Cully-39921J
"Cully Hex Nut, #8-32",Cully,40110J,Hex Nut,#8-32,HARDWARE-Cully-40110J
"Cully Hex Nut, #8 ",Cully,40110J,Hex Nut,#8 ,HARDWARE-Cully-40110J
"Cully Hex Nut, #10-32, Jar of 100",Cully,40120J,Hex Nut,"#10-32, Jar of 100",HARDWARE-Cully-40120J
"Cully Hex Nut, 1/4-20",Cully,40125J,Hex Nut,1/4/2020,HARDWARE-Cully-40125J
