Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Eaton 125A Main Breaker Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP20B125R,125,Main Breaker,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20B125R
"Eaton 150A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP20B150,150,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20B150
"Eaton 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP20B200,200,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20B200
"Eaton 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP20B200R,200,Main Breaker,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20B200R
"Eaton 125A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP20L125,125,Main Lug Only,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20L125
"Eaton 125A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP20L125G,125,Main Lug Only,20,40,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP20L125G
"Eaton 125A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP20L125R,125,Main Lug Only,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20L125R
"Eaton 200A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP20L200G,200,Main Lug Only,20,40,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP20L200G
"Eaton 200A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP20L200R,200,Main Lug Only,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20L200R
"Eaton 200A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP20N200,200,Convertible,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20N200
"Eaton 200A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP20N200G,200,Convertible,20,40,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP20N200G
"Eaton 200A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP20N200R,200,Convertible,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20N200R
"Eaton 200A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Ground Bar",Eaton,BRP20N200RG,200,Convertible,20,40,Outdoor,Surface,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP20N200RG
"Eaton 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP24L125,125,Main Lug Only,2,4,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP24L125
"Eaton 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP24L125G,125,Main Lug Only,2,4,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP24L125G
"Eaton 125A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP30B125,125,Main Breaker,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP30B125
"Eaton 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP30B200,200,Main Breaker,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP30B200
"Eaton 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP30B200G,200,Main Breaker,30,60,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP30B200G
"Eaton 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP30B200R,200,Main Breaker,30,60,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP30B200R
"Eaton 125A Main Lug Only Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP30L125,125,Main Lug Only,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP30L125
