Description,Manufacturer,Part Number,Tool Type,Tool Size,BRSID
DeWalt Tool Kit,DeWalt,DCK299P2,Tool Kit,,TOOLS-DeWalt-DCK299P2
"DeWalt Cable Stapler, 1 in",DeWalt,DCN701B,Cable Stapler,1 in,TOOLS-DeWalt-DCN701B
DeWalt Cable Stapler,DeWalt,DCN701D1,Cable Stapler,,TOOLS-DeWalt-DCN701D1
DeWalt Tool Battery Charger,DeWalt,DCR015,Tool Battery Charger,,TOOLS-DeWalt-DCR015
DeWalt Band Saw,DeWalt,DCS371B,Band Saw,,TOOLS-DeWalt-DCS371B
"DeWalt Band Saw, 20v",DeWalt,DCS377B,Band Saw,20v,TOOLS-DeWalt-DCS377B
"DeWalt Band Saw, 1-3/4 in",DeWalt,DCS377Q1,Band Saw,1-3/4 in,TOOLS-DeWalt-DCS377Q1
"Dewalt Hole Saw, 3 in",Dewalt,DHS3000,Hole Saw,3 in,TOOLS-Dewalt-DHS3000
"DeWalt Split Point Drill Bit, 7/32 in",DeWalt,DW1114,Split Point Drill Bit,7/32 in,TOOLS-DeWalt-DW1114
"DeWalt Split Point Drill Bit, 3/16 in",DeWalt,DW1312,Split Point Drill Bit,3/16 in,TOOLS-DeWalt-DW1312
"DeWalt Split Point Drill Bit, 3/16 x 12 in",DeWalt,DW1604,Split Point Drill Bit,3/16 x 12 in,TOOLS-DeWalt-DW1604
"DeWalt Split Point Drill Bit, 1/4x12 in",DeWalt,DW1606,Split Point Drill Bit,1/4x12 in,TOOLS-DeWalt-DW1606
"DeWalt Bit Holder/Extender, 6 in",DeWalt,DW2054,Bit Holder/Extender,6 in,TOOLS-DeWalt-DW2054
"DeWalt Bit Holder/Extender, 1-7/8 in",DeWalt,DW2219,Bit Holder/Extender,1-7/8 in,TOOLS-DeWalt-DW2219
"DeWalt Nut Driver Bit, 5/16x2-9/16 in",DeWalt,DW2222B,Nut Driver Bit,5/16x2-9/16 in,TOOLS-DeWalt-DW2222B
"DeWalt Nut Driver Bit, 1/2 x 2-9/16 in",DeWalt,DW2234IR,Nut Driver Bit,1/2 x 2-9/16 in,TOOLS-DeWalt-DW2234IR
"DeWalt Nut Driver Set, 5 piece",DeWalt,DW2235IR,Nut Driver Set,5 piece,TOOLS-DeWalt-DW2235IR
"DeWalt Socket Adapter Bit, 1/4 in",DeWalt,DW25421R,Socket Adapter Bit,1/4 in,TOOLS-DeWalt-DW25421R
"DeWalt Socket Adapter Bit, 1/4 - 3/8 in",DeWalt,DW2542IR,Socket Adapter Bit,1/4 - 3/8 in,TOOLS-DeWalt-DW2542IR
"DeWalt Band Saw Blade, 14tpi",DeWalt,DW3982C,Band Saw Blade,14tpi,TOOLS-DeWalt-DW3982C
"DeWalt Band Saw Blade, 32-7/8 in x 18 tpi",DeWalt,DW3983C,Band Saw Blade,32-7/8 in x 18 tpi,TOOLS-DeWalt-DW3983C
"DeWalt Band Saw Blade, 24tpi",DeWalt,DW3984C,Band Saw Blade,24tpi,TOOLS-DeWalt-DW3984C
"DeWalt Band Saw Blade, 32-7/8 in",DeWalt,DW3986C,Band Saw Blade,32-7/8 in,TOOLS-DeWalt-DW3986C
"DeWalt Reciprocating Saw Blade, 6 in",DeWalt,DW4811,Reciprocating Saw Blade,6 in,TOOLS-DeWalt-DW4811
"DeWalt Masonry Drill Bit, 3/16 in x 6 in",DeWalt,DW5223,Masonry Drill Bit,3/16 in x 6 in,TOOLS-DeWalt-DW5223
DeWalt Concrete Screw Installation Kit,DeWalt,DW5366,Concrete Screw Installation Kit,,TOOLS-DeWalt-DW5366
"DeWalt Rotary Hammer Drill Bit, 5/32 in",DeWalt,DW5401,Rotary Hammer Drill Bit,5/32 in,TOOLS-DeWalt-DW5401
"DeWalt Rotary Hammer Drill Bit, 3/16 in",DeWalt,DW5403,Rotary Hammer Drill Bit,3/16 in,TOOLS-DeWalt-DW5403
"DeWalt Rotary Hammer Drill Bit, 3/16x6-1/2x8-1/2 in",DeWalt,DW5404,Rotary Hammer Drill Bit,3/16x6-1/2x8-1/2 in,TOOLS-DeWalt-DW5404
"DeWalt Rotary Hammer Drill Bit, 1/4 in",DeWalt,DW5417,Rotary Hammer Drill Bit,1/4 in,TOOLS-DeWalt-DW5417
"DeWalt Rotary Hammer Drill Bit, 1/4x6-1/2x8-1/2 in",DeWalt,DW5418,Rotary Hammer Drill Bit,1/4x6-1/2x8-1/2 in,TOOLS-DeWalt-DW5418
"DeWalt Rotary Hammer Drill Bit, 3/8 in",DeWalt,DW5431,Rotary Hammer Drill Bit,3/8 in,TOOLS-DeWalt-DW5431
"DeWalt Rotary Hammer Drill Bit, 3/8 x 22 x 24 in",DeWalt,DW5432,Rotary Hammer Drill Bit,3/8 x 22 x 24 in,TOOLS-DeWalt-DW5432
"DeWalt Rotary Hammer Drill Bit, 1/2 x 4 x 6 in",DeWalt,DW5437,Rotary Hammer Drill Bit,1/2 x 4 x 6 in,TOOLS-DeWalt-DW5437
"DeWalt Rotary Hammer Drill Bit, 1/2 x 16 x 18 in",DeWalt,DW5440,Rotary Hammer Drill Bit,1/2 x 16 x 18 in,TOOLS-DeWalt-DW5440
"DeWalt Rotary Hammer Drill Bit, 3/4 in",DeWalt,DW5455,Rotary Hammer Drill Bit,3/4 in,TOOLS-DeWalt-DW5455
"DeWalt Rotary Hammer Drill Bit, 1-1/8x16x18 in",DeWalt,DW5469,Rotary Hammer Drill Bit,1-1/8x16x18 in,TOOLS-DeWalt-DW5469
"DeWalt Rotary Hammer Drill Bit, 1/4 in",DeWalt,DW5517,Rotary Hammer Drill Bit,1/4 in,TOOLS-DeWalt-DW5517
"DeWalt Rotary Hammer Drill Bit, 7/8 x 8 x 13-1/2 in",DeWalt,DW5815,Rotary Hammer Drill Bit,7/8 x 8 x 13-1/2 in,TOOLS-DeWalt-DW5815
"DeWalt Rotary Hammer Drill Bit, 1 in x 36 in",DeWalt,DW5820,Rotary Hammer Drill Bit,1 in x 36 in,TOOLS-DeWalt-DW5820
"DeWalt Rotary Hammer Drill Bit, 1-1/8 in x 22-1/2 in",DeWalt,DW5822,Rotary Hammer Drill Bit,1-1/8 in x 22-1/2 in,TOOLS-DeWalt-DW5822
"DeWalt Rotary Hammer Drill Bit, 1-1/4 x 10 x 15 in",DeWalt,DW5824,Rotary Hammer Drill Bit,1-1/4 x 10 x 15 in,TOOLS-DeWalt-DW5824
"DeWalt Driver Bit Set, 35 piece",DeWalt,DWA2T35IR,Driver Bit Set,35 piece,TOOLS-DeWalt-DWA2T35IR
"DeWalt Multi-Tool Blade, 1 in",DeWalt,DWA4209B,Multi-Tool Blade,1 in,TOOLS-DeWalt-DWA4209B
"DeWalt Drill Tap Bit, 5 piece",DeWalt,DWADT5SET,Drill Tap Bit,5 piece,TOOLS-DeWalt-DWADT5SET
DeWalt Reciprocating Saw Blade,DeWalt,DWAPB27183,Reciprocating Saw Blade,,TOOLS-DeWalt-DWAPB27183
DeWalt Utility Knife Blade,DeWalt,DW-HOOKBLADE,Utility Knife Blade,,TOOLS-DeWalt-DW-HOOKBLADE
DeWalt Utility Knife,DeWalt,DWHT10916,Utility Knife,,TOOLS-DeWalt-DWHT10916
"DeWalt Tape Measure, 35ft",DeWalt,DWHT33976S,Tape Measure,35ft,TOOLS-DeWalt-DWHT33976S
DeWalt Pry Bar,DeWalt,DWHT55129,Pry Bar,,TOOLS-DeWalt-DWHT55129
"Dewalt Headlamp, 200 lumens",Dewalt,DWHT81424,Headlamp,200 lumens,TOOLS-Dewalt-DWHT81424
DeWalt Driver Bit Set,DeWalt,DWMT73807,Driver Bit Set,,TOOLS-DeWalt-DWMT73807
"DeWalt Socket, 1/2 in",DeWalt,DWMT73934OSP,Socket,1/2 in,TOOLS-DeWalt-DWMT73934OSP
DeWalt Ratchet,DeWalt,DWMT75462,Ratchet,,TOOLS-DeWalt-DWMT75462
DeWalt Ratchet,DeWalt,DWMT75463,Ratchet,,TOOLS-DeWalt-DWMT75463
