Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
SQUARE D HOM 15A/20A/15A Triplex 2 space breaker,Square D HOM,HOMT1515220,"15, 20, 15",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT1515220,,,,,,,,,
SQUARE D HOM 20A/20A/20A Triplex 2 space breaker,Square D HOM,HOMT2020220,"20, 20, 20",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT2020220,,,,,,,,,
SQUARE D HOM 15A/30A/15A Triplex 2 space breaker,Square D HOM,HOMT1515230,"15, 30, 15",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT1515230,,,,,,,,,
SQUARE D HOM 20A/40A/20A Triplex 2 space breaker,Square D HOM,HOMT2020240,"20, 40, 20",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT2020240,,,,,,,,,
SQUARE D HOM 15A/40A/15A Triplex 2 space breaker,Square D HOM,HOMT1515240,"15, 40, 15",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT1515240,,,,,,,,,
SQUARE D HOM 15A/15A/15A Triplex 2 space breaker,Square D HOM,HOMT1515215,"15, 15, 15",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT1515215,,,,,,,,,
SQUARE D HOM 15A/50A/15A Triplex 2 space breaker,Square D HOM,HOMT1515250,"15, 50, 15",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT1515250,,,,,,,,,
SQUARE D HOM 125a/2p 2 space breaker,Square D HOM,HOM2125,125,2,2,,BREAKER-Square D HOM-HOM2125,,,,,,,,,
SQUARE D HOM 100a/2p 2 space breaker,Square D HOM,HOM2100,100,2,2,,BREAKER-Square D HOM-HOM2100,,,,,,,,,
SQUARE D HOM 90a/2p 2 space breaker,Square D HOM,HOM290,90,2,2,,BREAKER-Square D HOM-HOM290,,,,,,,,,
SQUARE D HOM 80a/2p 2 space breaker,Square D HOM,HOM280,80,2,2,,BREAKER-Square D HOM-HOM280,,,,,,,,,
SQUARE D HOM 70a/2p 2 space breaker,Square D HOM,HOM270,70,2,2,,BREAKER-Square D HOM-HOM270,,,,,,,,,
SQUARE D HOM 60a/2p 2 space breaker,Square D HOM,HOM260,60,2,2,,BREAKER-Square D HOM-HOM260,,,,,,,,,
SQUARE D HOM 50a/2p 2 space breaker,Square D HOM,HOM250,50,2,2,,BREAKER-Square D HOM-HOM250,,,,,,,,,
SQUARE D HOM 45a/2p 2 space breaker,Square D HOM,HOM245,45,2,2,,BREAKER-Square D HOM-HOM245,,,,,,,,,
SQUARE D HOM 40a/2p 2 space breaker,Square D HOM,HOM240,40,2,2,,BREAKER-Square D HOM-HOM240,,,,,,,,,
SQUARE D HOM 35a/2p 2 space breaker,Square D HOM,HOM235,35,2,2,,BREAKER-Square D HOM-HOM235,,,,,,,,,
SQUARE D HOM 30a/2p 2 space breaker,Square D HOM,HOM230,30,2,2,,BREAKER-Square D HOM-HOM230,,,,,,,,,
SQUARE D HOM 25a/2p 2 space breaker,Square D HOM,HOM225,25,2,2,,BREAKER-Square D HOM-HOM225,,,,,,,,,
SQUARE D HOM 20a/2p 2 space breaker,Square D HOM,HOM220,20,2,2,,BREAKER-Square D HOM-HOM220,,,,,,,,,
SQUARE D HOM 15a/2p 2 space breaker,Square D HOM,HOM215,15,2,2,,BREAKER-Square D HOM-HOM215,,,,,,,,,
SQUARE D HOM 20a/1p 1 space breaker,Square D HOM,HOM120,20,1,1,,BREAKER-Square D HOM-HOM120,,,,,,,,,
SQUARE D HOM 15a/1p 1 space breaker,Square D HOM,HOM115,15,1,1,,BREAKER-Square D HOM-HOM115,,,,,,,,,
"SQUARE D QO 200a/2p, Bus Bar Only",Square D QO,QO2200,200,4,2,Bus Bar Only,BREAKER-Square D QO-QO2200,,,,,,,,,
"SQUARE D QO 175a/2p, Bus Bar Only",Square D QO,QO2175,175,4,2,Bus Bar Only,BREAKER-Square D QO-QO2175,,,,,,,,,
"SQUARE D QO 150a/2p, Bus Bar Only",Square D QO,QO2150,150,4,2,Bus Bar Only,BREAKER-Square D QO-QO2150,,,,,,,,,
SQUARE D QO 20a/20a duplex 1 space breaker,Square D QO,QO2020,"20, 20",1,"1, 1",Duplex,BREAKER-Square D QO-QO2020,,,,,,,,,
SQUARE D QO 15a/15a duplex 1 space breaker,Square D QO,QO1515,"15, 15",1,"1, 1",Duplex,BREAKER-Square D QO-QO1515,,,,,,,,,
"SQUARE D 200a/2p Main Breaker Kit, QOM2 Frame Size",Square D QO,QOM2200VH,200,4,2,Main Breaker Kit,BREAKER-Square D QO-QOM2200VH,,,,,,,,,
"SQUARE D 175a/2p Main Breaker Kit, QOM2 Frame Size",Square D QO,QOM2175VH,175,4,2,Main Breaker Kit,BREAKER-Square D QO-QOM2175VH,,,,,,,,,
"SQUARE D 150a/2p Main Breaker Kit, QOM2 Frame Size",Square D QO,QOM2150VH,150,4,2,Main Breaker Kit,BREAKER-Square D QO-QOM2150VH,,,,,,,,,
"SQUARE D 125a/2p Main Breaker Kit, QOM2 Frame Size",Square D QO,QOM2125VH,125,4,2,Main Breaker Kit,BREAKER-Square D QO-QOM2125VH,,,,,,,,,
"SQUARE D 125a/2p Main Breaker Kit, QOM2 Frame Size",Square D QO,QOM125VH,125,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM125VH,,,,,,,,,
"SQUARE D 100a/2p Main Breaker Kit, QOM2 Frame Size",Square D QO,QOM2100VH,100,4,2,Main Breaker Kit,BREAKER-Square D QO-QOM2100VH,,,,,,,,,
"SQUARE D 100a/2p Main Breaker Kit, QOM1 Frame Size",Square D QO,QOM100VH,100,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM100VH,,,,,,,,,
"SQUARE D 90a/2p Main Breaker Kit, QOM1 Frame Size",Square D QO,QOM90VH,90,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM90VH,,,,,,,,,
"SQUARE D 80a/2p Main Breaker Kit, QOM1 Frame Size",Square D QO,QOM80VH,80,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM80VH,,,,,,,,,
"SQUARE D 70a/2p Main Breaker Kit, QOM1 Frame Size",Square D QO,QOM70VH,70,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM70VH,,,,,,,,,
"SQUARE D 60a/2p Main Breaker Kit, QOM1 Frame Size",Square D QO,QOM60VH,60,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM60VH,,,,,,,,,
"SQUARE D 50a/2p Main Breaker Kit, QOM1 Frame Size",Square D QO,QOM50VH,50,2,2,Main Breaker Kit,BREAKER-Square D QO-QOM50VH,,,,,,,,,
SQUARE D QO 125a/2p 2 space breaker,Square D QO,QO2125,125,2,2,,BREAKER-Square D QO-QO2125,,,,,,,,,
SQUARE D QO 100a/2p 2 space breaker,Square D QO,QO2100,100,2,2,,BREAKER-Square D QO-QO2100,,,,,,,,,
SQUARE D QO 90a/2p 2 space breaker,Square D QO,QO290,90,2,2,,BREAKER-Square D QO-QO290,,,,,,,,,
SQUARE D QO 80a/2p 2 space breaker,Square D QO,QO280,80,2,2,,BREAKER-Square D QO-QO280,,,,,,,,,
SQUARE D QO 70a/2p 2 space breaker,Square D QO,QO270,70,2,2,,BREAKER-Square D QO-QO270,,,,,,,,,
SQUARE D QO 60a/2p 2 space breaker,Square D QO,QO260,60,2,2,,BREAKER-Square D QO-QO260,,,,,,,,,
SQUARE D QO 50a/2p 2 space breaker,Square D QO,QO250,50,2,2,,BREAKER-Square D QO-QO250,,,,,,,,,
SQUARE D QO 45a/2p 2 space breaker,Square D QO,QO245,45,2,2,,BREAKER-Square D QO-QO245,,,,,,,,,
SQUARE D QO 40a/2p 2 space breaker,Square D QO,QO240,40,2,2,,BREAKER-Square D QO-QO240,,,,,,,,,
SQUARE D QO 35a/2p 2 space breaker,Square D QO,QO235,35,2,2,,BREAKER-Square D QO-QO235,,,,,,,,,
SQUARE D QO 30a/2p 2 space breaker,Square D QO,QO230,30,2,2,,BREAKER-Square D QO-QO230,,,,,,,,,
SQUARE D QO 25a/2p 2 space breaker,Square D QO,QO225,25,2,2,,BREAKER-Square D QO-QO225,,,,,,,,,
SQUARE D QO 20a/2p 2 space breaker,Square D QO,QO220,20,2,2,,BREAKER-Square D QO-QO220,,,,,,,,,
SQUARE D QO 15a/1p 1 space breaker,Square D QO,QO115,15,1,1,,BREAKER-Square D QO-QO115,,,,,,,,,
SQUARE D QO 20a/1p 1 space breaker,Square D QO,QO120,20,1,1,,BREAKER-Square D QO-QO120,,,,,,,,,
