Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
"EATON 50A/50A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ250250,"50, 50",2,"2, 2",Quad,BREAKER-Eaton-BQ250250,,,,,,,,,
"EATON 15A/15A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BRDC215215,"15, 15",2,"2, 2",Quad,BREAKER-Eaton-BRDC215215,,,,,,,,,
"EATON 30A/30A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BRDC230230,"30, 30",2,"2, 2",Quad,BREAKER-Eaton-BRDC230230,,,,,,,,,
"EATON 30A/40A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BRDC230240,"30, 40",2,"2, 2",Quad,BREAKER-Eaton-BRDC230240,,,,,,,,,
"EATON 30A/50A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BRDC230250,"30, 50",2,"2, 2",Quad,BREAKER-Eaton-BRDC230250,,,,,,,,,
"EATON 20A/20A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BRDC220220,"20, 20",2,"2, 2",Quad,BREAKER-Eaton-BRDC220220,,,,,,,,,
"EATON 20A/30A Quad 2 space breaker, Non-CTL, Independent Trip",Eaton,BRD220230,"20, 30",2,"2, 2",Quad,BREAKER-Eaton-BRD220230,,,,,,,,,
"EATON 50a/2p 2 space breaker, Tapped Hole for Hold-Down Kit",Eaton,BR250B,50,2,2,Tapped Hole for Hold-Down Kit,BREAKER-Eaton-BR250B,,,,,,,,,
"EATON 40a/2p 2 space breaker, Tapped Hole for Hold-Down Kit",Eaton,BR240B,40,2,2,Tapped Hole for Hold-Down Kit,BREAKER-Eaton-BR240B,,,,,,,,,
"EATON 30a/2p 2 space breaker, Tapped Hole for Hold-Down Kit",Eaton,BR230B,30,2,2,Tapped Hole for Hold-Down Kit,BREAKER-Eaton-BR230B,,,,,,,,,
"EATON 20A/50A/20A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2502120,"20, 50, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2502120,,,,,,,,,
"EATON 20A/30A/20A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2302120,"20, 30, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2302120,,,,,,,,,
"EATON 20A/25A/20A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2252120,"20, 25, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2252120,,,,,,,,,
"EATON 15A/20A/15A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2202115,"15, 20, 15",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2202115,,,,,,,,,
"EATON 20A/20A/20A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2202120,"20, 20, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2202120,,,,,,,,,
"EATON 15A/30A/15A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2302115,"15, 30, 15",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2302115,,,,,,,,,
"EATON 20A/40A/20A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2402120,"20, 40, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2402120,,,,,,,,,
"EATON 15A/40A/15A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2402115,"15, 40, 15",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2402115,,,,,,,,,
"EATON 15A/25A/15A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2252115,"15, 25, 15",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2252115,,,,,,,,,
"EATON 15A/50A/15A Triplex 2 space breaker, Rejection Tab Feature",Eaton,BQ2502115,"15, 50, 15",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQ2502115,,,,,,,,,
