Description,Conduit Type,Conduit Material,Conduit Size,Conduit Category,Conduit Designation,
1-1/4 in RMC Chase Nipple,Chase Nipple,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Chase-Nipple,
1-1/4 in RMC Compression Connector,Compression Connector,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Compression-Connector,
1-1/4 in RMC Compression Coupling,Compression Coupling,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Compression-Coupling,
1-1/4 in RMC Elbow 45,Elbow 45,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Elbow-45,
1-1/4 in RMC Elbow 90,Elbow 90,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Elbow-90,
1-1/4 in RMC Expansion Coupling,Expansion Coupling,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Expansion-Coupling,
1-1/4 in RMC Locknut,Locknut,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Locknut,
1-1/4 in RMC Raintight Locknut,Raintight Locknut,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Raintight-Locknut,
1-1/4 in RMC Set Screw Connector,Set Screw Connector,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Set-Screw-Connector,
1-1/4 in RMC Straight Nipple,Straight Nipple,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Straight-Nipple,
1-1/4 in RMC Threaded Coupling,Threaded Coupling,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Threaded-Coupling,
1-1/4 in RMC Weatherhead,Weatherhead,RMC,1/1/2004,Conduit Fitting,1-1/4-RMC-Weatherhead,
1-1/4 in Steel Reducing Washer,Reducing Washer,Steel,1/1/2004,Conduit Fitting,1-1/4-Steel-Reducing-Washer,
1-1/4 in Steel Sealing Ring,Sealing Ring,Steel,1/1/2004,Conduit Fitting,1-1/4-Steel-Sealing-Ring,
1 in EMT Compression Connector,Compression Connector,EMT,1,Conduit Fitting,1-EMT-Compression-Connector,
1 in EMT Compression Coupling,Compression Coupling,EMT,1,Conduit Fitting,1-EMT-Compression-Coupling,
1 in EMT Elbow 45,Elbow 45,EMT,1,Conduit Fitting,1-EMT-Elbow-45,
1 in EMT Elbow 90,Elbow 90,EMT,1,Conduit Fitting,1-EMT-Elbow-90,
1 in EMT Set Screw Connector,Set Screw Connector,EMT,1,Conduit Fitting,1-EMT-Set-Screw-Connector,
1 in EMT Threaded Coupling,Threaded Coupling,EMT,1,Conduit Fitting,1-EMT-Threaded-Coupling,
1 in PVC Cap,Cap,PVC,1,Conduit Fitting,1-PVC-Cap,
1 in PVC Coupling,Coupling,PVC,1,Conduit Fitting,1-PVC-Coupling,
1 in PVC Elbow 22-1/2,Elbow 22-1/2,PVC,1,Conduit Fitting,1-PVC-Elbow-22-1/2,
1 in PVC Elbow 30,Elbow 30,PVC,1,Conduit Fitting,1-PVC-Elbow-30,
1 in PVC Elbow 45,Elbow 45,PVC,1,Conduit Fitting,1-PVC-Elbow-45,
1 in PVC Elbow 90,Elbow 90,PVC,1,Conduit Fitting,1-PVC-Elbow-90,
1 in PVC End Bell,End Bell,PVC,1,Conduit Fitting,1-PVC-End-Bell,
1 in PVC Expansion Coupling,Expansion Coupling,PVC,1,Conduit Fitting,1-PVC-Expansion-Coupling,
1 in PVC Female Adapter,Female Adapter,PVC,1,Conduit Fitting,1-PVC-Female-Adapter,
1 in PVC Insulating Bushing,Insulating Bushing,PVC,1,Conduit Fitting,1-PVC-Insulating-Bushing,
1 in PVC Terminal Adapter,Terminal Adapter,PVC,1,Conduit Fitting,1-PVC-Terminal-Adapter,
1 in PVC Threaded Coupling,Threaded Coupling,PVC,1,Conduit Fitting,1-PVC-Threaded-Coupling,
1 in PVC Weatherhead,Weatherhead,PVC,1,Conduit Fitting,1-PVC-Weatherhead,
1 in RMC Chase Nipple,Chase Nipple,RMC,1,Conduit Fitting,1-RMC-Chase-Nipple,
1 in RMC Compression Connector,Compression Connector,RMC,1,Conduit Fitting,1-RMC-Compression-Connector,
1 in RMC Compression Coupling,Compression Coupling,RMC,1,Conduit Fitting,1-RMC-Compression-Coupling,
1 in RMC Elbow 45,Elbow 45,RMC,1,Conduit Fitting,1-RMC-Elbow-45,
1 in RMC Elbow 90,Elbow 90,RMC,1,Conduit Fitting,1-RMC-Elbow-90,
1 in RMC Expansion Coupling,Expansion Coupling,RMC,1,Conduit Fitting,1-RMC-Expansion-Coupling,
1 in RMC Locknut,Locknut,RMC,1,Conduit Fitting,1-RMC-Locknut,
1 in RMC Raintight Locknut,Raintight Locknut,RMC,1,Conduit Fitting,1-RMC-Raintight-Locknut,
1 in RMC Set Screw Connector,Set Screw Connector,RMC,1,Conduit Fitting,1-RMC-Set-Screw-Connector,
1 in RMC Straight Nipple,Straight Nipple,RMC,1,Conduit Fitting,1-RMC-Straight-Nipple,
