Description,Manufacturer,Part Number,Rating,Meter Socket Series,Meter Socket Type,Meter Socket Style,Meter Socket Feed,Meter Socket Positions,Meter Socket Bypass,Meter Socket Jaws,Mount,Meter Socket Features,BRSID
"Milbank Meter Socket, 200A, Ringless Style, OH ONLY, 1-Position, Horn Bypass, 4 Jaws, Surface Mount, Triplex Ground, CECHA Approved",Milbank,U8949-RL-TG-KK-CECHA,200,,Meter Socket,Ringless,OH,1,Horn,4,Surface,"Triplex Ground, CECHA Approved",METER-SOCKET-Milbank-U8949-RL-TG-KK-CECHA
"Milbank Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 4 Jaws, Surface Mount",Milbank,U9074-RXL-KK,200,,Meter Socket,Ringless,OH/UG,1,Horn,4,Surface,,METER-SOCKET-Milbank-U9074-RXL-KK
"Milbank Meter Socket, 200A, Ringless Style, OH ONLY, 1-Position, Horn Bypass, 4 Jaws, Surface Mount, Open Hub, Triplex Ground",Milbank,U9101-RL-TG-KK,200,,Meter Socket,Ringless,OH,1,Horn,4,Surface,"Open Hub, Triplex Ground",METER-SOCKET-Milbank-U9101-RL-TG-KK
"Milbank Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 7 Jaws, Surface Mount, Large Open Hub",Milbank,U9701-RXL,200,,Meter Socket,Ringless,OH/UG,1,Lever,7,Surface,Large Open Hub,METER-SOCKET-Milbank-U9701-RXL
"Siemens Talon Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 5 Jaws, Surface Mount, Steel Latch and Hasp",Siemens,40405-025F,200,Talon,Meter Socket,Ringless,OH/UG,1,Lever,5,Surface,Steel Latch and Hasp,METER-SOCKET-Siemens-40405-025F
"Siemens Talon Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 5 Jaws, Surface Mount",Siemens,40405-02CO,200,Talon,Meter Socket,Ringless,OH/UG,1,Lever,5,Surface,,METER-SOCKET-Siemens-40405-02CO
"Siemens Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs",Siemens,MC0408B1200T,200,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,Feed-Through Lugs,METER-SOCKET-Siemens-MC0408B1200T
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Main Lug Only",Siemens,MC0606L1200R,200,,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,Main Lug Only,METER-SOCKET-Siemens-MC0606L1200R
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs",Siemens,MC0816B1150RTH,200,,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,Feed-Through Lugs,METER-SOCKET-Siemens-MC0816B1150RTH
"Siemens Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs, 50A Subfeed Provision",Siemens,MC0816B1200ESN,200,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,"Feed-Through Lugs, 50A Subfeed Provision",METER-SOCKET-Siemens-MC0816B1200ESN
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 5 Jaws, Surface Mount, Feed-Through Lugs",Siemens,MC0816B1200JLT,200,,Meter/Main Combo,Ringless,OH/UG,1,Lever,5,Surface,Feed-Through Lugs,METER-SOCKET-Siemens-MC0816B1200JLT
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Siemens,MC0816B1200RTH,200,,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,,METER-SOCKET-Siemens-MC0816B1200RTH
