Description,Manufacturer,Part Number,Conduit Designation,BRSID,,,,
Conduit - 1 in PVC Terminal Adapter-Terminal Adapter,Conduit,1-IN-PVC-TERM-ADPT,1-PVC-Terminal-Adapter,CONDUIT-Conduit-1-IN-PVC-TERM-ADPT,,,,
Conduit - 1 in RMC Conduit-Conduit,Conduit,1-IN-GALV-STEEL,1-RMC-Conduit,CONDUIT-Conduit-1-IN-GALV-STEEL,,,,
Conduit - 1 in RMC Elbow 45-Elbow 45,Conduit,1-IN-45DEG-GALV-ELBOW,1-RMC-Elbow-45,CONDUIT-Conduit-1-IN-45DEG-GALV-ELBOW,,,,
Conduit - 1 in RMC Elbow 90-Elbow 90,Conduit,1-IN-90DEG-GALV-ELBOW,1-RMC-Elbow-90,CONDUIT-Conduit-1-IN-90DEG-GALV-ELBOW,,,,
Conduit - 1 in RMC Expansion Coupling-Expansion Coupling,Conduit,1IN EXP CPLNG,1-RMC-Expansion-Coupling,CONDUIT-Conduit-1IN-EXP-CPLNG,,,,
Conduit - 1 in RMC Threaded Coupling-Threaded Coupling,Conduit,1-IN-GALV-CPLG,1-RMC-Threaded-Coupling,CONDUIT-Conduit-1-IN-GALV-CPLG,,,,
Conduit - 2-1/2 in EMT Compression Connector-Compression Connector,Conduit,"2.5"" RAINTIGHT CONNE",2-1/2-EMT-Compression-Connector,"CONDUIT-Conduit-2.5""-RAINTIGHT-CONNE",,,,
Conduit - 2-1/2 in EMT Conduit-Conduit,Conduit,2-1/2-EMT,2-1/2-EMT-Conduit,CONDUIT-Conduit-2-1/2-EMT,,,,
Conduit - 2-1/2 in PVC Conduit-Conduit,Conduit,2-1/2-PVC-SCHED-40-10FT,2-1/2-PVC-Conduit,CONDUIT-Conduit-2-1/2-PVC-SCHED-40-10FT,,,,
Conduit - 2-1/2 in PVC Conduit-Conduit,Conduit,2-1/2-PVC-SCHED-80-10FT,2-1/2-PVC-Conduit,CONDUIT-Conduit-2-1/2-PVC-SCHED-80-10FT,,,,
Conduit - 2-1/2 in PVC Coupling-Coupling,Conduit,2-1/2-PVC-COND-CPLG,2-1/2-PVC-Coupling,CONDUIT-Conduit-2-1/2-PVC-COND-CPLG,,,,
Conduit - 2-1/2 in PVC Elbow 90-Elbow 90,Conduit,EL2-1/2,2-1/2-PVC-Elbow-90,CONDUIT-Conduit-EL2-1/2,,,,
Conduit - 2-1/2 in PVC Elbow 90-Elbow 90,Conduit,ELS802-1/2,2-1/2-PVC-Elbow-90,CONDUIT-Conduit-ELS802-1/2,,,,
Conduit - 2-1/2 in PVC Expansion Coupling-Expansion Coupling,Conduit,2-1/2-PVC-EXPAN-CPLG-6-IN-MAX,2-1/2-PVC-Expansion-Coupling,CONDUIT-Conduit-2-1/2-PVC-EXPAN-CPLG-6-IN-MAX,,,,
Conduit - 2-1/2 in PVC Female Adapter-Female Adapter,Conduit,2-1/2-PVC-FEMALE-ADAPTER,2-1/2-PVC-Female-Adapter,CONDUIT-Conduit-2-1/2-PVC-FEMALE-ADAPTER,,,,
Conduit - 2-1/2 in PVC Terminal Adapter-Terminal Adapter,Conduit,2-1/2-PVC-TERM-ADPT,2-1/2-PVC-Terminal-Adapter,CONDUIT-Conduit-2-1/2-PVC-TERM-ADPT,,,,
Conduit - 2-1/2 in RMC Conduit-Conduit,Conduit,2-1/2-RMC,2-1/2-RMC-Conduit,CONDUIT-Conduit-2-1/2-RMC,,,,
Conduit - 2 in EMT Conduit-Conduit,Conduit,2-IN-EMT,2-EMT-Conduit,CONDUIT-Conduit-2-IN-EMT,,,,
Conduit - 2 in EMT Elbow 45-Elbow 45,Conduit,2-IN-45DEG-EMT,2-EMT-Elbow-45,CONDUIT-Conduit-2-IN-45DEG-EMT,,,,
Conduit - 2 in EMT Elbow 90-Elbow 90,Conduit,2-IN-90DEG-EMT,2-EMT-Elbow-90,CONDUIT-Conduit-2-IN-90DEG-EMT,,,,
Conduit - 2 in FMC Conduit-Conduit,Conduit,LT2-NM,2-FMC-Conduit,CONDUIT-Conduit-LT2-NM,,,,
Conduit - 2 in IMC Conduit-Conduit,Conduit,IMC2,2-IMC-Conduit,CONDUIT-Conduit-IMC2,,,,
Conduit - 2 in PVC Cap-Cap,Conduit,200P CA,2-PVC-Cap,CONDUIT-Conduit-200P-CA,,,,
Conduit - 2 in PVC Conduit-Conduit,Conduit,"2"" SCHEDULE 80 PVC",2-PVC-Conduit,"CONDUIT-Conduit-2""-SCHEDULE-80-PVC",,,,
Conduit - 2 in PVC Conduit-Conduit,Conduit,2-IN-PVC-SCHED-40-10FT,2-PVC-Conduit,CONDUIT-Conduit-2-IN-PVC-SCHED-40-10FT,,,,
Conduit - 2 in PVC Coupling-Coupling,Conduit,2-IN-PVC-COND-CPLG,2-PVC-Coupling,CONDUIT-Conduit-2-IN-PVC-COND-CPLG,,,,
Conduit - 2 in PVC Elbow 22-1/2-Elbow 22-1/2,Conduit,EL2X22-1/2,2-PVC-Elbow-22-1/2,CONDUIT-Conduit-EL2X22-1/2,,,,
Conduit - 2 in PVC Elbow 30-Elbow 30,Conduit,EL230,2-PVC-Elbow-30,CONDUIT-Conduit-EL230,,,,
Conduit - 2 in PVC Elbow 45-Elbow 45,Conduit,2-IN-45D-SCH-40-COND-ELL,2-PVC-Elbow-45,CONDUIT-Conduit-2-IN-45D-SCH-40-COND-ELL,,,,
Conduit - 2 in PVC Elbow 90-Elbow 90,Conduit,2-IN-90D-SCH-40-BELL-END-ELL,2-PVC-Elbow-90,CONDUIT-Conduit-2-IN-90D-SCH-40-BELL-END-ELL,,,,
Conduit - 2 in PVC Elbow 90-Elbow 90,Conduit,200P80 90D SCH80 ELB,2-PVC-Elbow-90,CONDUIT-Conduit-200P80-90D-SCH80-ELB,,,,
Conduit - 2 in PVC End Bell-End Bell,Conduit,2BELLEND,2-PVC-End-Bell,CONDUIT-Conduit-2BELLEND,,,,
Conduit - 2 in PVC Expansion Coupling-Expansion Coupling,Conduit,2 IN EXPANSION COUP,2-PVC-Expansion-Coupling,CONDUIT-Conduit-2-IN-EXPANSION-COUP,,,,
Conduit - 2 in PVC Expansion Coupling-Expansion Coupling,Conduit,2-IN-PVC-FEMALE-ADPT,2-PVC-Expansion-Coupling,CONDUIT-Conduit-2-IN-PVC-FEMALE-ADPT,,,,
Conduit - 2 in PVC Terminal Adapter-Terminal Adapter,Conduit,2-IN-PVC-TERM-ADPT,2-PVC-Terminal-Adapter,CONDUIT-Conduit-2-IN-PVC-TERM-ADPT,,,,
Conduit - 2 in RMC Conduit-Conduit,Conduit,2-RMC,2-RMC-Conduit,CONDUIT-Conduit-2-RMC,,,,
Conduit - 2 in RMC Elbow 45-Elbow 45,Conduit,2-IN-45DEG-GALV-ELBOW,2-RMC-Elbow-45,CONDUIT-Conduit-2-IN-45DEG-GALV-ELBOW,,,,
Conduit - 2 in RMC Elbow 90-Elbow 90,Conduit,2-IN-90DEG-GALV-ELBOW,2-RMC-Elbow-90,CONDUIT-Conduit-2-IN-90DEG-GALV-ELBOW,,,,
Conduit - 2 in RMC Threaded Coupling-Threaded Coupling,Conduit,2-IN-GALV-CPLG,2-RMC-Threaded-Coupling,CONDUIT-Conduit-2-IN-GALV-CPLG,,,,
Conduit - 3/4 in EMT Conduit-Conduit,Conduit,EMT-3/4,3/4-EMT-Conduit,CONDUIT-Conduit-EMT-3/4,,,,
Conduit - 3/4 in EMT Elbow 90-Elbow 90,Conduit,3/4-90DEG-EMT,3/4-EMT-Elbow-90,CONDUIT-Conduit-3/4-90DEG-EMT,,,,
Conduit - 3/4 in FMC Conduit-Conduit,Conduit,3/4-FMC,3/4-FMC-Conduit,CONDUIT-Conduit-3/4-FMC,,,,
Conduit - 3/4 in IMC Conduit-Conduit,Conduit,3/4 IN IMC,3/4-IMC-Conduit,CONDUIT-Conduit-3/4-IN-IMC,,,,
Conduit - 3/4 in PVC Conduit-Conduit,Conduit,3/4-PVC-SCHED-40-10FT,3/4-PVC-Conduit,CONDUIT-Conduit-3/4-PVC-SCHED-40-10FT,,,,
Conduit - 3/4 in PVC Conduit-Conduit,Conduit,3/4 IN SCH 80 PVC,3/4-PVC-Conduit,CONDUIT-Conduit-3/4-IN-SCH-80-PVC,,,,
Conduit - 3/4 in PVC Coupling-Coupling,Conduit,3/4-PVC-COND-CPLG,3/4-PVC-Coupling,CONDUIT-Conduit-3/4-PVC-COND-CPLG,,,,
Conduit - 3/4 in PVC Elbow 45-Elbow 45,Conduit,3/4PVCELBOW45,3/4-PVC-Elbow-45,CONDUIT-Conduit-3/4PVCELBOW45,,,,
Conduit - 3/4 in PVC Elbow 90-Elbow 90,Conduit,3/4-90D-SCH-40-COND-ELL,3/4-PVC-Elbow-90,CONDUIT-Conduit-3/4-90D-SCH-40-COND-ELL,,,,
Conduit - 3/4 in PVC Elbow 90-Elbow 90,Conduit,3/4-90D-SCH-80-COND-ELL,3/4-PVC-Elbow-90,CONDUIT-Conduit-3/4-90D-SCH-80-COND-ELL,,,,
Conduit - 3/4 in PVC Expansion Coupling-Expansion Coupling,Conduit,3/4-PVC-EXPANSION-COUPLING,3/4-PVC-Expansion-Coupling,CONDUIT-Conduit-3/4-PVC-EXPANSION-COUPLING,,,,
Conduit - 3/4 in PVC Female Adapter-Female Adapter,Conduit,3/4PVCFEMALEADAPTER,3/4-PVC-Female-Adapter,CONDUIT-Conduit-3/4PVCFEMALEADAPTER,,,,
Conduit - 3/4 in PVC Terminal Adapter-Terminal Adapter,Conduit,3/4-PVC-TERM-ADPT,3/4-PVC-Terminal-Adapter,CONDUIT-Conduit-3/4-PVC-TERM-ADPT,,,,
Conduit - 3/4 in RMC Compression Connector-Compression Connector,Conduit,3/4RMCCOMPCONN,3/4-RMC-Compression-Connector,CONDUIT-Conduit-3/4RMCCOMPCONN,,,,
Conduit - 3/4 in RMC Compression Coupling-Compression Coupling,Conduit,COUP3/4,3/4-RMC-Compression-Coupling,CONDUIT-Conduit-COUP3/4,,,,
Conduit - 3/4 in RMC Conduit-Conduit,Conduit,3/4RMC,3/4-RMC-Conduit,CONDUIT-Conduit-3/4RMC,,,,
Conduit - 3/4 in RMC Elbow 45-Elbow 45,Conduit,3/4-45DEG-GALV-ELBOW,3/4-RMC-Elbow-45,CONDUIT-Conduit-3/4-45DEG-GALV-ELBOW,,,,
Conduit - 3/4 in RMC Threaded Coupling-Threaded Coupling,Conduit,3/4RMCTHREADEDCOUPLING,3/4-RMC-Threaded-Coupling,CONDUIT-Conduit-3/4RMCTHREADEDCOUPLING,,,,
Conduit - 3 in PVC Conduit-Conduit,Conduit,3-PVC-40,3-PVC-Conduit,CONDUIT-Conduit-3-PVC-40,,,,
Conduit - 3 in PVC Conduit-Conduit,Conduit,3-PVC-SCHED-80,3-PVC-Conduit,CONDUIT-Conduit-3-PVC-SCHED-80,,,,
Conduit - 3 in PVC Coupling-Coupling,Conduit,3PVCCOUPLING,3-PVC-Coupling,CONDUIT-Conduit-3PVCCOUPLING,,,,
Conduit - 3 in PVC Elbow 22-1/2-Elbow 22-1/2,Conduit,EL3X22-1/2,3-PVC-Elbow-22-1/2,CONDUIT-Conduit-EL3X22-1/2,,,,
Conduit - 3 in PVC Elbow 90-Elbow 90,Conduit,3-IN-90D-ELL-PVC-CT,3-PVC-Elbow-90,CONDUIT-Conduit-3-IN-90D-ELL-PVC-CT,,,,
Conduit - 3 in PVC Elbow 90-Elbow 90,Conduit,3-PVC-ELBOW-90-SCHED-80,3-PVC-Elbow-90,CONDUIT-Conduit-3-PVC-ELBOW-90-SCHED-80,,,,
Conduit - 3 in PVC End Bell-End Bell,Conduit,BE3,3-PVC-End-Bell,CONDUIT-Conduit-BE3,,,,
Conduit - 3 in PVC Expansion Coupling-Expansion Coupling,Conduit,3-EXPANSION-COUPLING,3-PVC-Expansion-Coupling,CONDUIT-Conduit-3-EXPANSION-COUPLING,,,,
Conduit - 3 in PVC Terminal Adapter-Terminal Adapter,Conduit,3PVCTERMINALADAPTER,3-PVC-Terminal-Adapter,CONDUIT-Conduit-3PVCTERMINALADAPTER,,,,
Conduit - 3 in RMC Conduit-Conduit,Conduit,3-IN-GALV-STEEL,3-RMC-Conduit,CONDUIT-Conduit-3-IN-GALV-STEEL,,,,
Conduit - 3 in RMC Elbow 45-Elbow 45,Conduit,3-IN-45DEG-GALV-ELBOW,3-RMC-Elbow-45,CONDUIT-Conduit-3-IN-45DEG-GALV-ELBOW,,,,
Conduit - 3 in RMC Elbow 90-Elbow 90,Conduit,3-IN-90DEG-GALV-ELBOW,3-RMC-Elbow-90,CONDUIT-Conduit-3-IN-90DEG-GALV-ELBOW,,,,
Conduit - 1-1/2 in RMC Threaded Coupling-Threaded Coupling,Conduit,1-1/2-RMC-THREAD-COUP,1-1/2-RMC-Threaded-Coupling,CONDUIT-Conduit-1-1/2-RMC-THREAD-COUP,,,,
Conduit - 3/4 in RMC Elbow 90-Elbow 90,Conduit,3/4-90DEG-GALV-ELBOW,3/4-RMC-Elbow-90,CONDUIT-Conduit-3/4-90DEG-GALV-ELBOW,,,,
Eaton - 1/2 in EMT Compression Connector-Compression Connector,Eaton,656,1/2-EMT-Compression-Connector,CONDUIT-Eaton-656,,,,
Eaton - 1/2 in EMT Compression Connector-Compression Connector,Eaton,1650RT,1/2-EMT-Compression-Connector,CONDUIT-Eaton-1650RT,,,,
Eaton - 1/2 in EMT Compression Connector-Compression Connector,Eaton,650RT,1/2-EMT-Compression-Connector,CONDUIT-Eaton-650RT,,,,
Eaton - 1/2 in EMT Compression Coupling-Compression Coupling,Eaton,660RT,1/2-EMT-Compression-Coupling,CONDUIT-Eaton-660RT,,,,
Eaton - 1/2 in EMT Set Screw Connector-Set Screw Connector,Eaton,450S,1/2-EMT-Set-Screw-Connector,CONDUIT-Eaton-450S,,,,
Eaton - 1/2 in RMC Compression Connector-Compression Connector,Eaton,CPR1,1/2-RMC-Compression-Connector,CONDUIT-Eaton-CPR1,,,,
Eaton - 1/2 in RMC Compression Coupling-Compression Coupling,Eaton,CPR21,1/2-RMC-Compression-Coupling,CONDUIT-Eaton-CPR21,,,,
Eaton - 1/2 in RMC Threaded Coupling-Threaded Coupling,Eaton,RC50,1/2-RMC-Threaded-Coupling,CONDUIT-Eaton-RC50,,,,
Eaton - 1-1/2 in EMT Compression Connector-Compression Connector,Eaton,654,1-1/2-EMT-Compression-Connector,CONDUIT-Eaton-654,,,,
Eaton - 1-1/2 in EMT Compression Connector-Compression Connector,Eaton,1654RT,1-1/2-EMT-Compression-Connector,CONDUIT-Eaton-1654RT,,,,
Eaton - 1-1/2 in EMT Compression Connector-Compression Connector,Eaton,654RT,1-1/2-EMT-Compression-Connector,CONDUIT-Eaton-654RT,,,,
Eaton - 1-1/2 in EMT Compression Coupling-Compression Coupling,Eaton,664,1-1/2-EMT-Compression-Coupling,CONDUIT-Eaton-664,,,,
Eaton - 1-1/2 in EMT Set Screw Connector-Set Screw Connector,Eaton,454,1-1/2-EMT-Set-Screw-Connector,CONDUIT-Eaton-454,,,,
Eaton - 1-1/2 in RMC Compression Connector-Compression Connector,Eaton,CPR5,1-1/2-RMC-Compression-Connector,CONDUIT-Eaton-CPR5,,,,
Eaton - 1-1/4 in EMT Compression Connector-Compression Connector,Eaton,653,1-1/4-EMT-Compression-Connector,CONDUIT-Eaton-653,,,,
Eaton - 1-1/4 in EMT Compression Connector-Compression Connector,Eaton,1653RT,1-1/4-EMT-Compression-Connector,CONDUIT-Eaton-1653RT,,,,
Eaton - 1-1/4 in EMT Compression Connector-Compression Connector,Eaton,653RT,1-1/4-EMT-Compression-Connector,CONDUIT-Eaton-653RT,,,,
Eaton - 1-1/4 in EMT Compression Coupling-Compression Coupling,Eaton,663,1-1/4-EMT-Compression-Coupling,CONDUIT-Eaton-663,,,,
Eaton - 1-1/4 in EMT Compression Coupling-Compression Coupling,Eaton,663RT,1-1/4-EMT-Compression-Coupling,CONDUIT-Eaton-663RT,,,,
Eaton - 1-1/4 in EMT Set Screw Connector-Set Screw Connector,Eaton,453,1-1/4-EMT-Set-Screw-Connector,CONDUIT-Eaton-453,,,,
Eaton - 1-1/4 in RMC Compression Connector-Compression Connector,Eaton,CPR4,1-1/4-RMC-Compression-Connector,CONDUIT-Eaton-CPR4,,,,
Eaton - 1-1/4 in RMC Compression Coupling-Compression Coupling,Eaton,CPR24,1-1/4-RMC-Compression-Coupling,CONDUIT-Eaton-CPR24,,,,
"Eaton DURA-BLOK Strut Block, 9.6"" Overall Length",Eaton,DB10,13/16-Cast-Iron-Strut-Block,CONDUIT-Eaton-DB10,,,,
"Eaton DURA-BLOK Strut Block, 4.8"" Overall Length",Eaton,DB5,13/16-Cast-Iron-Strut-Block,CONDUIT-Eaton-DB5,,,,
"Eaton Strut Channel, 12 Gauge, Pre-Galvanized, Slotted, 1-5/8"" x 1-5/8"", 10 ft",Eaton,B22S-120GLV,1-5/8-Metallic-Channel-Strut,CONDUIT-Eaton-B22S-120GLV,,,,
"Eaton Strut Channel, 12 Gauge, Pre-Galvanized, Half-Slotted, 1-5/8"" x 1-5/8"", 10 ft",Eaton,B22SH-120GLV,1-5/8-Metallic-Channel-Strut,CONDUIT-Eaton-B22SH-120GLV,,,,
"Eaton Strut Channel, 14 Gauge, Pre-Galvanized, Slotted, 1-5/8"" x 1-5/8"", 10 ft",Eaton,B24SH-120GLV,1-5/8-Metallic-Channel-Strut,CONDUIT-Eaton-B24SH-120GLV,,,,
"Eaton Strut Channel, 14 Gauge, Pre-Galvanized, Slotted, 13/16"" x 1-5/8"", 10 ft",Eaton,B54SH-120GLV,1-5/8-Metallic-Channel-Strut,CONDUIT-Eaton-B54SH-120GLV,,,,
Eaton - 1 in EMT Compression Connector-Compression Connector,Eaton,652,1-EMT-Compression-Connector,CONDUIT-Eaton-652,,,,
Eaton - 1 in EMT Compression Connector-Compression Connector,Eaton,1652,1-EMT-Compression-Connector,CONDUIT-Eaton-1652,,,,
Eaton - 1 in EMT Compression Connector-Compression Connector,Eaton,1652RT,1-EMT-Compression-Connector,CONDUIT-Eaton-1652RT,,,,
Eaton - 1 in EMT Compression Connector-Compression Connector,Eaton,652RT,1-EMT-Compression-Connector,CONDUIT-Eaton-652RT,,,,
Eaton - 1 in EMT Compression Coupling-Compression Coupling,Eaton,662,1-EMT-Compression-Coupling,CONDUIT-Eaton-662,,,,
Eaton - 1 in EMT Compression Coupling-Compression Coupling,Eaton,662RT,1-EMT-Compression-Coupling,CONDUIT-Eaton-662RT,,,,
Eaton - 1 in EMT Set Screw Connector-Set Screw Connector,Eaton,452,1-EMT-Set-Screw-Connector,CONDUIT-Eaton-452,,,,
Eaton - 1 in RMC Compression Connector-Compression Connector,Eaton,CPR13,1-RMC-Compression-Connector,CONDUIT-Eaton-CPR13,,,,
Eaton - 1 in RMC Compression Connector-Compression Connector,Eaton,CPR3,1-RMC-Compression-Connector,CONDUIT-Eaton-CPR3,,,,
Eaton - 1 in RMC Compression Coupling-Compression Coupling,Eaton,CPR23,1-RMC-Compression-Coupling,CONDUIT-Eaton-CPR23,,,,
Eaton - 1 in RMC Expansion Coupling-Expansion Coupling,Eaton,XJG34,1-RMC-Expansion-Coupling,CONDUIT-Eaton-XJG34,,,,
Eaton - 1 in RMC Expansion Coupling-Expansion Coupling,Eaton,XJG38 HDG,1-RMC-Expansion-Coupling,CONDUIT-Eaton-XJG38-HDG,,,,
Eaton - 1 in RMC Threaded Coupling-Threaded Coupling,Eaton,192,1-RMC-Threaded-Coupling,CONDUIT-Eaton-192,,,,
Eaton - 2-1/2 in EMT Compression Connector-Compression Connector,Eaton,1656,2-1/2-EMT-Compression-Connector,CONDUIT-Eaton-1656,,,,
Eaton - 2-1/2 in EMT Compression Connector-Compression Connector,Eaton,1656RT,2-1/2-EMT-Compression-Connector,CONDUIT-Eaton-1656RT,,,,
Eaton - 2-1/2 in EMT Compression Connector-Compression Connector,Eaton,656RT,2-1/2-EMT-Compression-Connector,CONDUIT-Eaton-656RT,,,,
Eaton - 2-1/2 in EMT Compression Coupling-Compression Coupling,Eaton,666RT,2-1/2-EMT-Compression-Coupling,CONDUIT-Eaton-666RT,,,,
Eaton - 2-1/2 in EMT Set Screw Connector-Set Screw Connector,Eaton,456,2-1/2-EMT-Set-Screw-Connector,CONDUIT-Eaton-456,,,,
Eaton - 2-1/2 in RMC Compression Connector-Compression Connector,Eaton,CPR7,2-1/2-RMC-Compression-Connector,CONDUIT-Eaton-CPR7,,,,
Eaton - 2 in EMT Compression Connector-Compression Connector,Eaton,655,2-EMT-Compression-Connector,CONDUIT-Eaton-655,,,,
Eaton - 2 in EMT Compression Connector-Compression Connector,Eaton,1655,2-EMT-Compression-Connector,CONDUIT-Eaton-1655,,,,
Eaton - 2 in EMT Compression Connector-Compression Connector,Eaton,1655RT,2-EMT-Compression-Connector,CONDUIT-Eaton-1655RT,,,,
Eaton - 2 in EMT Compression Connector-Compression Connector,Eaton,655RT,2-EMT-Compression-Connector,CONDUIT-Eaton-655RT,,,,
Eaton - 2 in EMT Compression Coupling-Compression Coupling,Eaton,665,2-EMT-Compression-Coupling,CONDUIT-Eaton-665,,,,
Eaton - 2 in EMT Compression Coupling-Compression Coupling,Eaton,665RT,2-EMT-Compression-Coupling,CONDUIT-Eaton-665RT,,,,
Eaton - 2 in EMT Set Screw Connector-Set Screw Connector,Eaton,455,2-EMT-Set-Screw-Connector,CONDUIT-Eaton-455,,,,
Eaton - 2 in RMC Compression Connector-Compression Connector,Eaton,CPR6,2-RMC-Compression-Connector,CONDUIT-Eaton-CPR6,,,,
Eaton - 2 in RMC Compression Coupling-Compression Coupling,Eaton,CPR26,2-RMC-Compression-Coupling,CONDUIT-Eaton-CPR26,,,,
Eaton - 2 in RMC Threaded Coupling-Threaded Coupling,Eaton,195,2-RMC-Threaded-Coupling,CONDUIT-Eaton-195,,,,
Eaton - 3/4 in EMT Compression Connector-Compression Connector,Eaton,1651,3/4-EMT-Compression-Connector,CONDUIT-Eaton-1651,,,,
Eaton - 3/4 in EMT Compression Connector-Compression Connector,Eaton,1651RT,3/4-EMT-Compression-Connector,CONDUIT-Eaton-1651RT,,,,
Eaton - 3/4 in EMT Compression Connector-Compression Connector,Eaton,651RT,3/4-EMT-Compression-Connector,CONDUIT-Eaton-651RT,,,,
Eaton - 3/4 in EMT Compression Connector-Compression Connector,Eaton,651S,3/4-EMT-Compression-Connector,CONDUIT-Eaton-651S,,,,
Eaton - 3/4 in EMT Compression Coupling-Compression Coupling,Eaton,661RT,3/4-EMT-Compression-Coupling,CONDUIT-Eaton-661RT,,,,
Eaton - 3/4 in EMT Compression Coupling-Compression Coupling,Eaton,661S,3/4-EMT-Compression-Coupling,CONDUIT-Eaton-661S,,,,
Eaton - 3/4 in EMT Compression Coupling-Compression Coupling,Eaton,664RT,3/4-EMT-Compression-Coupling,CONDUIT-Eaton-664RT,,,,
Eaton - 3/4 in EMT Set Screw Connector-Set Screw Connector,Eaton,451,3/4-EMT-Set-Screw-Connector,CONDUIT-Eaton-451,,,,
Eaton - 3/4 in EMT Set Screw Connector-Set Screw Connector,Eaton,1451,3/4-EMT-Set-Screw-Connector,CONDUIT-Eaton-1451,,,,
Eaton - 3/4 in RMC Compression Connector-Compression Connector,Eaton,CPR12,3/4-RMC-Compression-Connector,CONDUIT-Eaton-CPR12,,,,
Eaton - 3/4 in RMC Compression Connector-Compression Connector,Eaton,CPR2,3/4-RMC-Compression-Connector,CONDUIT-Eaton-CPR2,,,,
Eaton - 3/4 in RMC Compression Coupling-Compression Coupling,Eaton,CPR22,3/4-RMC-Compression-Coupling,CONDUIT-Eaton-CPR22,,,,
Eaton - 3/4 in RMC Expansion Coupling-Expansion Coupling,Eaton,XJG24,3/4-RMC-Expansion-Coupling,CONDUIT-Eaton-XJG24,,,,
Eaton - 3/4 in RMC Threaded Coupling-Threaded Coupling,Eaton,RC75,3/4-RMC-Threaded-Coupling,CONDUIT-Eaton-RC75,,,,
Eaton - 3 in EMT Compression Connector-Compression Connector,Eaton,1657RT,3-EMT-Compression-Connector,CONDUIT-Eaton-1657RT,,,,
Eaton - 3 in EMT Compression Connector-Compression Connector,Eaton,657RT,3-EMT-Compression-Connector,CONDUIT-Eaton-657RT,,,,
Eclipse - 1 in RMC Expansion Coupling-Expansion Coupling,Eclipse,ACPAX100,1-RMC-Expansion-Coupling,CONDUIT-Eclipse-ACPAX100,,,,
Eclipse - 1 in RMC Expansion Coupling-Expansion Coupling,Eclipse,ACPAX8100,1-RMC-Expansion-Coupling,CONDUIT-Eclipse-ACPAX8100,,,,
Electri-Flex - 3/4 in FMC Conduit-Conduit,Electri-Flex,80122,3/4-FMC-Conduit,CONDUIT-Electri-Flex-80122,,,,
Electri-Flex - 1/2 in FMC Conduit-Conduit,Electri-Flex,69411,1/2-FMC-Conduit,CONDUIT-Electri-Flex-69411,,,,
Electri-Flex - 1 in FMC Conduit-Conduit,Electri-Flex,23102,1-FMC-Conduit,CONDUIT-Electri-Flex-23102,,,,
Electri-Flex - 1 in FMC Conduit-Conduit,Electri-Flex,23104,1-FMC-Conduit,CONDUIT-Electri-Flex-23104,,,,
Electri-Flex - 1 in FMC Conduit-Conduit,Electri-Flex,69334,1-FMC-Conduit,CONDUIT-Electri-Flex-69334,,,,
Electri-Flex - 2 in FMC Conduit-Conduit,Electri-Flex,26104,2-FMC-Conduit,CONDUIT-Electri-Flex-26104,,,,
Electri-Flex - 2 in FMC Conduit-Conduit,Electri-Flex,69464,2-FMC-Conduit,CONDUIT-Electri-Flex-69464,,,,
Electri-Flex - 3/4 in FMC Conduit-Conduit,Electri-Flex,69422,3/4-FMC-Conduit,CONDUIT-Electri-Flex-69422,,,,
Electri-Flex - 3/4 in FMC Conduit-Conduit,Electri-Flex,69424,3/4-FMC-Conduit,CONDUIT-Electri-Flex-69424,,,,
Fasteners & Fittings - 1/2 in RMC Threaded Coupling-Threaded Coupling,Fasteners & Fittings,9000,1/2-RMC-Threaded-Coupling,CONDUIT-Fasteners-&-Fittings-9000,,,,
Garvin - 1-1/4 in RMC Compression Connector-Compression Connector,Garvin,RT125,1-1/4-RMC-Compression-Connector,CONDUIT-Garvin-RT125,,,,
Garvin - 1 in EMT Compression Connector-Compression Connector,Garvin,CCNR-100,1-EMT-Compression-Connector,CONDUIT-Garvin-CCNR-100,,,,
Garvin - 1 in RMC Compression Connector-Compression Connector,Garvin,RT100,1-RMC-Compression-Connector,CONDUIT-Garvin-RT100,,,,
Garvin - 1 in RMC Compression Coupling-Compression Coupling,Garvin,RTC100,1-RMC-Compression-Coupling,CONDUIT-Garvin-RTC100,,,,
Garvin - 3/4 in RMC Compression Connector-Compression Connector,Garvin,RT75,3/4-RMC-Compression-Connector,CONDUIT-Garvin-RT75,,,,
"Haydon Strut Channel, 14 Gauge, Pre-Galvanized, Slotted, 13/16"" x 1-5/8"", 10 ft",Haydon,H-164-OS,1-5/8-Metallic-Channel-Strut,CONDUIT-Haydon-H-164-OS,,,,
"Haydon Conduit Support Block, 14 Gauge, 9-15/16in long, 4-7/8 in high, Rubber Base",Haydon,80011,13/16-Rubber-Strut-Block,CONDUIT-Haydon-80011,,,,
Heritage Plastics - 1 in PVC Elbow 90-Elbow 90,Heritage Plastics,59014,1-PVC-Elbow-90,CONDUIT-Heritage-Plastics-59014,,,,
Heritage Plastics - 1 in PVC Expansion Coupling-Expansion Coupling,Heritage Plastics,789648,1-PVC-Expansion-Coupling,CONDUIT-Heritage-Plastics-789648,,,,
IPEX - 1/2 in PVC Terminal Adapter-Terminal Adapter,IPEX,77021,1/2-PVC-Terminal-Adapter,CONDUIT-IPEX-77021,,,,
IPEX - 1/2 in PVC Terminal Adapter-Terminal Adapter,IPEX,TA10,1/2-PVC-Terminal-Adapter,CONDUIT-IPEX-TA10,,,,
