Description,Manufacturer,Part Number,Conduit Designation,BRSID,,,,
Appleton - 1-1/4 in EMT Compression Connector-Compression Connector,Appleton,7125GSR,1-1/4-EMT-Compression-Connector,CONDUIT-Appleton-7125GSR,,,,
Appleton - 1-1/4 in EMT Compression Connector-Compression Connector,Appleton,7125GSRT,1-1/4-EMT-Compression-Connector,CONDUIT-Appleton-7125GSRT,,,,
Appleton - 1-1/4 in EMT Compression Coupling-Compression Coupling,Appleton,6125GSR,1-1/4-EMT-Compression-Coupling,CONDUIT-Appleton-6125GSR,,,,
Appleton - 1-1/4 in EMT Set Screw Connector-Set Screw Connector,Appleton,4125S,1-1/4-EMT-Set-Screw-Connector,CONDUIT-Appleton-4125S,,,,
Appleton - 1-1/4 in RMC Compression Connector-Compression Connector,Appleton,NTC125,1-1/4-RMC-Compression-Connector,CONDUIT-Appleton-NTC125,,,,
Appleton - 1-1/4 in RMC Expansion Coupling-Expansion Coupling,Appleton,XJ1254,1-1/4-RMC-Expansion-Coupling,CONDUIT-Appleton-XJ1254,,,,
Appleton - 1 in EMT Compression Connector-Compression Connector,Appleton,7100GSR,1-EMT-Compression-Connector,CONDUIT-Appleton-7100GSR,,,,
Appleton - 1 in EMT Compression Connector-Compression Connector,Appleton,7100GSRT,1-EMT-Compression-Connector,CONDUIT-Appleton-7100GSRT,,,,
Appleton - 1 in EMT Compression Connector-Compression Connector,Appleton,7100ST,1-EMT-Compression-Connector,CONDUIT-Appleton-7100ST,,,,
Appleton - 1 in EMT Compression Coupling-Compression Coupling,Appleton,6100GSR,1-EMT-Compression-Coupling,CONDUIT-Appleton-6100GSR,,,,
Appleton - 1 in EMT Compression Coupling-Compression Coupling,Appleton,6100S,1-EMT-Compression-Coupling,CONDUIT-Appleton-6100S,,,,
Appleton - 1 in EMT Set Screw Connector-Set Screw Connector,Appleton,4100S,1-EMT-Set-Screw-Connector,CONDUIT-Appleton-4100S,,,,
Appleton - 1 in EMT Set Screw Connector-Set Screw Connector,Appleton,4100ST,1-EMT-Set-Screw-Connector,CONDUIT-Appleton-4100ST,,,,
Appleton - 1 in RMC Compression Connector-Compression Connector,Appleton,NTC100,1-RMC-Compression-Connector,CONDUIT-Appleton-NTC100,,,,
Appleton - 1 in RMC Compression Connector-Compression Connector,Appleton,NTC-100,1-RMC-Compression-Connector,CONDUIT-Appleton-NTC-100,,,,
Appleton - 1 in RMC Compression Coupling-Compression Coupling,Appleton,NTCC100,1-RMC-Compression-Coupling,CONDUIT-Appleton-NTCC100,,,,
Appleton - 1 in RMC Compression Coupling-Compression Coupling,Appleton,NTCC-100,1-RMC-Compression-Coupling,CONDUIT-Appleton-NTCC-100,,,,
Appleton - 1 in RMC Expansion Coupling-Expansion Coupling,Appleton,EX-100,1-RMC-Expansion-Coupling,CONDUIT-Appleton-EX-100,,,,
Appleton - 1 in RMC Expansion Coupling-Expansion Coupling,Appleton,XJ1004,1-RMC-Expansion-Coupling,CONDUIT-Appleton-XJ1004,,,,
Appleton - 1 in RMC Expansion Coupling-Expansion Coupling,Appleton,XJ1008,1-RMC-Expansion-Coupling,CONDUIT-Appleton-XJ1008,,,,
Appleton - 2-1/2 in EMT Compression Connector-Compression Connector,Appleton,7250GSR,2-1/2-EMT-Compression-Connector,CONDUIT-Appleton-7250GSR,,,,
Appleton - 2 in EMT Compression Connector-Compression Connector,Appleton,7200GSR,2-EMT-Compression-Connector,CONDUIT-Appleton-7200GSR,,,,
Appleton - 2 in EMT Compression Connector-Compression Connector,Appleton,7200GSRT,2-EMT-Compression-Connector,CONDUIT-Appleton-7200GSRT,,,,
Appleton - 2 in EMT Compression Connector-Compression Connector,Appleton,7200S,2-EMT-Compression-Connector,CONDUIT-Appleton-7200S,,,,
Appleton - 2 in EMT Compression Coupling-Compression Coupling,Appleton,6200GSR,2-EMT-Compression-Coupling,CONDUIT-Appleton-6200GSR,,,,
Appleton - 2 in EMT Compression Coupling-Compression Coupling,Appleton,C2001R,2-EMT-Compression-Coupling,CONDUIT-Appleton-C2001R,,,,
Appleton - 2 in EMT Set Screw Connector-Set Screw Connector,Appleton,4200S,2-EMT-Set-Screw-Connector,CONDUIT-Appleton-4200S,,,,
Appleton - 2 in RMC Compression Connector-Compression Connector,Appleton,NTC200,2-RMC-Compression-Connector,CONDUIT-Appleton-NTC200,,,,
Appleton - 3/4 in EMT Compression Connector-Compression Connector,Appleton,7075GSR,3/4-EMT-Compression-Connector,CONDUIT-Appleton-7075GSR,,,,
Appleton - 3/4 in EMT Compression Connector-Compression Connector,Appleton,7075GSRT,3/4-EMT-Compression-Connector,CONDUIT-Appleton-7075GSRT,,,,
Appleton - 3/4 in EMT Compression Connector-Compression Connector,Appleton,7075S,3/4-EMT-Compression-Connector,CONDUIT-Appleton-7075S,,,,
Appleton - 3/4 in EMT Compression Connector-Compression Connector,Appleton,7075ST,3/4-EMT-Compression-Connector,CONDUIT-Appleton-7075ST,,,,
Appleton - 3/4 in EMT Compression Coupling-Compression Coupling,Appleton,6075GSR,3/4-EMT-Compression-Coupling,CONDUIT-Appleton-6075GSR,,,,
Appleton - 3/4 in EMT Compression Coupling-Compression Coupling,Appleton,6075S,3/4-EMT-Compression-Coupling,CONDUIT-Appleton-6075S,,,,
Appleton - 3/4 in EMT Set Screw Connector-Set Screw Connector,Appleton,4075S,3/4-EMT-Set-Screw-Connector,CONDUIT-Appleton-4075S,,,,
Appleton - 3/4 in EMT Set Screw Connector-Set Screw Connector,Appleton,4075ST,3/4-EMT-Set-Screw-Connector,CONDUIT-Appleton-4075ST,,,,
Appleton - 3/4 in RMC Compression Connector-Compression Connector,Appleton,NTC75,3/4-RMC-Compression-Connector,CONDUIT-Appleton-NTC75,,,,
Appleton - 3/4 in RMC Compression Connector-Compression Connector,Appleton,NTC-75,3/4-RMC-Compression-Connector,CONDUIT-Appleton-NTC-75,,,,
Appleton - 3/4 in RMC Compression Coupling-Compression Coupling,Appleton,NTCC75,3/4-RMC-Compression-Coupling,CONDUIT-Appleton-NTCC75,,,,
Appleton - 3/4 in RMC Compression Coupling-Compression Coupling,Appleton,NTCC-75,3/4-RMC-Compression-Coupling,CONDUIT-Appleton-NTCC-75,,,,
Appozgcomm - 1-1/2 in EMT Compression Connector-Compression Connector,Appozgcomm,7150S,1-1/2-EMT-Compression-Connector,CONDUIT-Appozgcomm-7150S,,,,
Appozgcomm - 1-1/2 in EMT Set Screw Connector-Set Screw Connector,Appozgcomm,4150S,1-1/2-EMT-Set-Screw-Connector,CONDUIT-Appozgcomm-4150S,,,,
Appozgcomm - 1-1/4 in EMT Compression Connector-Compression Connector,Appozgcomm,7125S,1-1/4-EMT-Compression-Connector,CONDUIT-Appozgcomm-7125S,,,,
Appozgcomm - 1-1/4 in EMT Compression Connector-Compression Connector,Appozgcomm,7125UST,1-1/4-EMT-Compression-Connector,CONDUIT-Appozgcomm-7125UST,,,,
Appozgcomm - 1-1/4 in EMT Compression Coupling-Compression Coupling,Appozgcomm,6125S,1-1/4-EMT-Compression-Coupling,CONDUIT-Appozgcomm-6125S,,,,
Appozgcomm - 1 in EMT Compression Connector-Compression Connector,Appozgcomm,7100S,1-EMT-Compression-Connector,CONDUIT-Appozgcomm-7100S,,,,
Appozgcomm - 1 in RMC Compression Coupling-Compression Coupling,Appozgcomm,TPC-100,1-RMC-Compression-Coupling,CONDUIT-Appozgcomm-TPC-100,,,,
Appozgcomm - 2 in EMT Compression Coupling-Compression Coupling,Appozgcomm,6200S,2-EMT-Compression-Coupling,CONDUIT-Appozgcomm-6200S,,,,
Arlington - 1/2 in EMT Set Screw Connector-Set Screw Connector,Arlington,800ST,1/2-EMT-Set-Screw-Connector,CONDUIT-Arlington-800ST,,,,
Arlington - 1-1/2 in EMT Compression Connector-Compression Connector,Arlington,824RT,1-1/2-EMT-Compression-Connector,CONDUIT-Arlington-824RT,,,,
Arlington - 1-1/4 in EMT Compression Connector-Compression Connector,Arlington,823RT,1-1/4-EMT-Compression-Connector,CONDUIT-Arlington-823RT,,,,
"Arlington Roof Topper Conduit Support with Strut,  4"" Height, 9"" Length",Arlington,RTS4,1-5/8-Plastic-Strut-Block,CONDUIT-Arlington-RTS4,,,,
Arlington - 1 in EMT Compression Connector-Compression Connector,Arlington,822ART,1-EMT-Compression-Connector,CONDUIT-Arlington-822ART,,,,
Arlington - 1 in EMT Compression Connector-Compression Connector,Arlington,822RT,1-EMT-Compression-Connector,CONDUIT-Arlington-822RT,,,,
Arlington - 1 in EMT Compression Coupling-Compression Coupling,Arlington,832RT,1-EMT-Compression-Coupling,CONDUIT-Arlington-832RT,,,,
Arlington - 2-1/2 in EMT Compression Connector-Compression Connector,Arlington,826,2-1/2-EMT-Compression-Connector,CONDUIT-Arlington-826,,,,
Arlington - 2-1/2 in EMT Compression Connector-Compression Connector,Arlington,826RT,2-1/2-EMT-Compression-Connector,CONDUIT-Arlington-826RT,,,,
Arlington - 2 in EMT Compression Connector-Compression Connector,Arlington,825,2-EMT-Compression-Connector,CONDUIT-Arlington-825,,,,
Arlington - 2 in EMT Compression Connector-Compression Connector,Arlington,825ART,2-EMT-Compression-Connector,CONDUIT-Arlington-825ART,,,,
Arlington - 2 in EMT Compression Connector-Compression Connector,Arlington,825RT,2-EMT-Compression-Connector,CONDUIT-Arlington-825RT,,,,
Arlington - 2 in EMT Compression Coupling-Compression Coupling,Arlington,835RT,2-EMT-Compression-Coupling,CONDUIT-Arlington-835RT,,,,
Arlington - 3/4 in EMT Compression Connector-Compression Connector,Arlington,821,3/4-EMT-Compression-Connector,CONDUIT-Arlington-821,,,,
Arlington - 3/4 in EMT Compression Connector-Compression Connector,Arlington,821ART,3/4-EMT-Compression-Connector,CONDUIT-Arlington-821ART,,,,
Arlington - 3/4 in EMT Compression Connector-Compression Connector,Arlington,821RT,3/4-EMT-Compression-Connector,CONDUIT-Arlington-821RT,,,,
Arlington - 3/4 in EMT Compression Coupling-Compression Coupling,Arlington,831RT,3/4-EMT-Compression-Coupling,CONDUIT-Arlington-831RT,,,,
Arlington - 3/4 in EMT Set Screw Connector-Set Screw Connector,Arlington,801,3/4-EMT-Set-Screw-Connector,CONDUIT-Arlington-801,,,,
Atkore - Calconduit - 2 in RMC Compression Coupling-Compression Coupling,Atkore - Calconduit,PV2000CP00,2-RMC-Compression-Coupling,CONDUIT-Atkore---Calconduit-PV2000CP00,,,,
Bridgeport - 1/2 in EMT Compression Connector-Compression Connector,Bridgeport,250-DC2,1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-250-DC2,,,,
