Description,Manufacturer,Part Number,Connector Type,BRSID
"Penn Union Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 10 AWG-350 kcmil",Penn Union,IPBB-NA350-2D,Insulated Multi-Tap Connector,CONNECTOR-Penn-Union-IPBB-NA350-2D
"Penn Union Black Insulated Multi-Tap Connector, 2-Port, Single Sided Entry, 14 AWG-2/0 AWG",Penn Union,IPBB-NA2/0-3S,Insulated Multi-Tap Connector,CONNECTOR-Penn-Union-IPBB-NA2/0-3S
"Penn Union Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 10 AWG-250 kcmil",Penn Union,IPBB-NA250-2D,Insulated Multi-Tap Connector,CONNECTOR-Penn-Union-IPBB-NA250-2D
"Penn Union Black Insulated Multi-Tap Connector, 2-Port, Single Sided Entry, 14 AWG-4 AWG",Penn Union,IPBB-NA4-2S,Insulated Multi-Tap Connector,CONNECTOR-Penn-Union-IPBB-NA4-2S
"Polaris IT-4 2-Port Black Multi-Tap Pre-Insulated Connector, 4 AWG - 14 AWG",Polaris,IT-4,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-4
"Polaris IT-1/0 2-Port Black Multi-Tap Pre-Insulated Connector, 1/0 AWG - 6 AWG",Polaris,IT-1/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-1/0
"Polaris IT-3/0 2-Port Black Multi-Tap Pre-Insulated Connector, 3/0 AWG - 6 AWG",Polaris,IT-3/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-3/0
"Polaris IT-250 2-Port Black Multi-Tap Pre-Insulated Connector, 250 MCM - 6 AWG",Polaris,IT-250,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-250
"Polaris ISR-250 2-Port Black Multi-Tap Pre-Insulated Connector, 250 MCM - 6 AWG",Polaris,ISR-250,Insulated Multi-Tap Connector,CONNECTOR-Polaris-ISR-250
"Polaris IPL250-3 3-Port Black Multi-Tap Pre-Insulated Connector, 250 MCM - 6 AWG ",Polaris,IPL250-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL250-3
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Opposite Side Entry, 14 AWG-4 AWG",Polaris,ITO-4,Insulated Multi-Tap Connector,CONNECTOR-Polaris-ITO-4
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Opposite Side Entry, 6 AWG-3/0 AWG",Polaris,ITO-3/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-ITO-3/0
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Opposite Side Entry, 14 AWG-1/0 AWG",Polaris,ITO-1/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-ITO-1/0
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 4 AWG-500 kcmil",Polaris,IT-500,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-500
"Polaris Clear Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-4 AWG",Polaris,IT-4C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-4C
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-4 AWG",Polaris,IT-4,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-4
"Polaris Clear Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 10 AWG-350 kcmil",Polaris,IT-350C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-350C
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 10 AWG-350 kcmil",Polaris,IT-350,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-350
"Polaris Clear Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 6 AWG-3/0 AWG",Polaris,IT-3/0C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-3/0C
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 6 AWG-3/0 AWG",Polaris,IT-3/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-3/0
"Polaris Clear Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 6 AWG-250 kcmil",Polaris,IT-250C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-250C
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 6 AWG-250 kcmil",Polaris,IT-250,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-250
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-2/0 AWG",Polaris,IT-2/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-2/0
